"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046982","GO:0046982","protein heterodimerization activity","9/49","125/21875",8.22107083038031e-12,6.33022453939284e-10,5.36533043666926e-10,"CENH3/G-H2AX/NA/H2A.Z/HTA13/H2A.Z/HTA2/h2a.w.6/HTB4",9
"GO:0003682","GO:0003682","chromatin binding","6/49","171/21875",2.21201877365146e-06,8.51627227855811e-05,7.21816652454686e-05,"HMGA/ORTH2/CMT1/H1.2/EMB2795/h2a.w.6",6
"GO:0031491","GO:0031491","nucleosome binding","2/49","26/21875",0.00154357443537791,0.0396184105080331,0.0335795140327827,"HMGA/H1.2",2
