"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"Chir02Ox-b03100.2",0,1.80540881027457,0.703,0.003,0,1,"GEP_23 and DEGs","Yes"
"Chir02Ox-b17040.2",0,1.25199892033137,0.745,0.004,0,2,"GEP_23 and DEGs","Yes"
"Chir08Ox-b10180.2",0,2.95517166790137,0.887,0.007,0,3,"GEP_23 and DEGs","Yes"
"Chir06Ox-b35090.2",1.33934342282801e-215,1.20135046609512,0.171,0.008,2.63314916927988e-211,4,"GEP_23 and DEGs","No"
"Chir03Ox-b11670.2",8.76787659283808e-108,1.12483835711931,0.192,0.021,1.72376453815197e-103,5,"DEGs","No"
"Chir08Ox-b30210.2",0,0.924548035762634,0.533,0.024,0,6,"DEGs","Yes"
"Chir03Ox-b23410.2",0,2.22850979732498,0.85,0.025,0,7,"GEP_23 and DEGs","No"
"Chir08Ox-b19950.2",4.31374392313968e-112,1.11062121961861,0.213,0.025,8.48082055289262e-108,8,"DEGs","No"
"Chir01Ox-b11440.2",0,1.90558918410034,0.375,0.028,0,9,"GEP_23 and DEGs","No"
"Chir06Ox-b36910.2",0,0.815939947672394,0.577,0.03,0,10,"DEGs","Yes"
"Chir01Ox-b13690.2",0,2.47145222837093,0.596,0.03,0,11,"DEGs","No"
"Chir02Ox-b17390.2",1.84668437273285e-16,1.23437799911955,0.102,0.03,3.63058147679279e-12,12,"DEGs","No"
"Chir03Ox-b19030.2",0,1.22553778855238,0.535,0.031,0,13,"GEP_23 and DEGs","No"
"Chir03Ox-b03760.2",0,1.54464163592585,0.759,0.037,0,14,"GEP_23 and DEGs","No"
"Chir07Ox-b33410.2",0,1.23987553975241,0.577,0.038,0,15,"GEP_23 and DEGs","Yes"
"Chir04Ox-b12980.2",0,1.42774079711411,0.78,0.054,0,16,"GEP_23 and DEGs","No"
"Chir08Ox-b16470.2",0,2.86076165560431,0.717,0.06,0,17,"DEGs","No"
"Chir01Ox-b16570.2",0,1.86675029374878,0.801,0.063,0,18,"DEGs","Yes"
"Chir04Ox-b20280.2",2.1777171081843e-138,1.01372389014389,0.412,0.077,4.28139183469034e-134,19,"DEGs","No"
"Chir07Ox-b35240.2",3.55382137038614e-160,1.25833149913831,0.446,0.078,6.98681281417914e-156,20,"DEGs","No"
"Chir03Ox-b30070.2",1.08074410613863e-275,1.3841904188423,0.591,0.086,2.12474291266855e-271,21,"DEGs","No"
"Chir08Ox-b25990.2",2.26677220383658e-12,1.02539861682725,0.186,0.088,4.45647415274271e-08,22,"DEGs","No"
"Chir06Ox-b37780.2",9.93452393223082e-233,1.14328115153445,0.551,0.09,1.95312740507658e-228,23,"DEGs","No"
"Chir08Ox-b28310.2",2.38229008398274e-102,1.03962604218578,0.541,0.177,4.68358230511007e-98,24,"DEGs","Yes"
"Chir05Ox-b22010.2",3.37469263605226e-86,1.25950373339122,0.554,0.185,6.63464572247875e-82,25,"DEGs","Yes"
"Chir01Ox-b27110.2",1.51808105840963e-140,1.04460232602434,0.635,0.189,2.98454736083334e-136,26,"DEGs","Yes"
"Chir07Ox-b30310.2",2.32328533368264e-140,0.978506581376221,0.693,0.24,4.56757896602006e-136,27,"DEGs","Yes"
"Chir04Ox-b10110.2",6.73032805723214e-113,1.13161590890748,0.761,0.37,1.32318249605184e-108,28,"DEGs","Yes"
"Chir01Ox-b04960.2",2.10892896717767e-89,1.24648684551163,0.753,0.406,4.14615434947129e-85,29,"DEGs","Yes"
"Chir03Ox-b32690.2",1.44816449916786e-123,1.43635261159872,0.9,0.567,2.84709140536401e-119,30,"DEGs","Yes"
