"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"Chir02Ox-b20850.2",0,1.06206952537799,0.275,0.012,0,1,"DEGs","No"
"Chir01Ox-b41500.2",7.19921840366266e-197,0.372653443650713,0.112,0.013,1.41536633816008e-192,2,"GEP_21 and DEGs","No"
"Chir07Ox-b12060.2",2.5483008069874e-262,1.02942712631377,0.136,0.014,5.00995938653723e-258,3,"DEGs","No"
"Chir01Ox-b27850.2",0,1.07669130453623,0.257,0.018,0,4,"DEGs","No"
"Chir04Ox-b26260.2",0,1.03904084985379,0.347,0.02,0,5,"DEGs","No"
"Chir05Ox-b00600.2",0,1.48688598477127,0.388,0.021,0,6,"GEP_4 and DEGs","No"
"Chir06Ox-b33630.2",0,2.07232366625011,0.299,0.021,0,7,"DEGs","No"
"Chir02Ox-b11350.2",0,1.80206064465317,0.4,0.023,0,8,"GEP_4 and DEGs","No"
"Chir06Ox-b25450.2",0,1.27102600334698,0.311,0.024,0,9,"GEP_4 and DEGs","Yes"
"Chir06Ox-b13450.2",0,1.34309924113151,0.334,0.024,0,10,"DEGs","No"
"Chir04Ox-b22870.2",0,1.203441280359,0.407,0.025,0,11,"DEGs","No"
"Chir03Ox-b22100.2",0,1.9332537823147,0.411,0.026,0,12,"DEGs","No"
"Chir01Ox-b41050.2",0,1.98668103098301,0.467,0.027,0,13,"GEP_4 and DEGs","No"
"Chir04Ox-b21430.2",0,2.8363760906423,0.436,0.028,0,14,"GEP_4 and DEGs","No"
"Chir05Ox-b04600.2",0,0.712368401796827,0.373,0.028,0,15,"GEP_21 and DEGs","No"
"Chir02Ox-b08950.2",0,1.3311476671521,0.369,0.038,0,16,"GEP_4 and DEGs","No"
"Chir07Ox-b04970.2",0,1.06850752082741,0.488,0.042,0,17,"GEP_4 and DEGs","No"
"Chir08Ox-b23620.2",0,1.47253895661066,0.558,0.043,0,18,"GEP_4 and DEGs","No"
"Chir07Ox-b19300.2",0,0.765361912028007,0.315,0.044,0,19,"GEP_21 and DEGs","No"
"Chir05Ox-b02030.2",0,1.39712462801557,0.472,0.047,0,20,"GEP_4 and DEGs","No"
"Chir04Ox-b26270.2",0,1.45915191284654,0.487,0.056,0,21,"GEP_4 and DEGs","No"
"Chir07Ox-b11440.2",0,1.22147634618989,0.467,0.057,0,22,"DEGs","No"
"Chir05Ox-b14840.2",0,3.06464002474885,0.522,0.058,0,23,"DEGs","No"
"Chir02Ox-b23120.2",0,1.11720159261743,0.627,0.071,0,24,"GEP_21 and DEGs","No"
"Chir03Ox-b00140.2",0,0.898476664887952,0.463,0.075,0,25,"DEGs","Yes"
"Chir08Ox-b09780.2",0,1.75081905403,0.592,0.079,0,26,"GEP_21 and DEGs","No"
"Chir03Ox-b10550.2",1.30979994032528e-269,0.869583417668943,0.34,0.09,2.5750666826795e-265,27,"DEGs","Yes"
"Chir01Ox-b28790.2",7.51409350289813e-117,0.306230180251566,0.255,0.091,1.47727078266977e-112,28,"GEP_21 and DEGs","No"
"Chir03Ox-b01260.2",0,1.00509585468698,0.498,0.093,0,29,"GEP_21 and DEGs","No"
"Chir02Ox-b03290.2",0,2.13778077302079,0.679,0.097,0,30,"DEGs","Yes"
"Chir03Ox-b22130.2",1.60984319435448e-221,0.4731074850403,0.344,0.104,3.16495172010091e-217,31,"GEP_21 and DEGs","Yes"
"Chir08Ox-b03770.2",0,1.53414522314962,0.563,0.105,0,32,"GEP_21 and DEGs","No"
"Chir05Ox-b28600.2",0,1.5674011764312,0.635,0.113,0,33,"GEP_21 and DEGs","No"
"Chir06Ox-b31830.2",0,1.1889477944437,0.676,0.186,0,34,"DEGs","Yes"
"Chir03Ox-b23340.2",0,2.69528693650442,0.881,0.214,0,35,"DEGs","Yes"
"Chir06Ox-b33870.2",0,0.966432312889661,0.83,0.404,0,36,"DEGs","Yes"
"Chir04Ox-b02760.2",0,1.14952765343823,0.859,0.482,0,37,"DEGs","Yes"
"Chir01Ox-b25170.2",0,1.85261746979681,0.865,0.531,0,38,"DEGs","Yes"
"Chir01Ox-b39520.2",0,1.21021762166961,0.905,0.601,0,39,"DEGs","Yes"
"Chir04Ox-b02750.2",0,1.9766558529645,0.983,0.665,0,40,"DEGs","Yes"
