"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"Chir05Ox-b01300.2",0,1.2032280485824,0.654,0.001,0,1,"GEP_41 and DEGs","No"
"Chir06Ox-b11410.2",0,3.27705371347917,0.481,0.001,0,2,"DEGs","No"
"Chir06Ox-b11430.2",0,1.66935287521109,0.452,0.003,0,3,"GEP_41 and DEGs","No"
"Chir02Ox-b17620.2",0,2.87817671577263,0.904,0.004,0,4,"GEP_41 and DEGs","No"
"Chir06Ox-b11990.2",0,1.81744148980492,0.452,0.004,0,5,"GEP_41 and DEGs","No"
"Chir03Ox-b24280.2",0,2.30500937979279,0.923,0.005,0,6,"GEP_41 and DEGs","Yes"
"Chir07Ox-b03170.2",1.29092513471994e-188,0.844104664627983,0.212,0.005,2.5379588148594e-184,7,"DEGs","Yes"
"Chir01Ox-b01210.2",0,3.85350679550413,0.913,0.006,0,8,"GEP_41 and DEGs","No"
"Chir04Ox-b21420.2",0,1.74475076417301,0.625,0.006,0,9,"GEP_41 and DEGs","No"
"Chir05Ox-b23410.2",0,2.5032212151261,0.885,0.006,0,10,"GEP_41 and DEGs","Yes"
"Chir06Ox-b36510.2",0,1.46931128226947,0.856,0.009,0,11,"DEGs","Yes"
"Chir06Ox-b13650.2",0,6.15820806167352,0.567,0.012,0,12,"GEP_41 and DEGs","No"
"Chir07Ox-b15170.2",0,1.81557126311838,0.817,0.013,0,13,"DEGs","No"
"Chir08Ox-b09940.2",0,3.819389685766,0.933,0.016,0,14,"GEP_41 and DEGs","No"
"Chir01Ox-b27220.2",0,2.79550993522774,0.885,0.017,0,15,"DEGs","No"
"Chir08Ox-b30160.2",0,2.35565232918208,0.923,0.019,0,16,"DEGs","No"
"Chir06Ox-b13660.2",0,6.75348343968659,0.798,0.02,0,17,"DEGs","No"
"Chir08Ox-b30170.2",3.53985104382624e-68,1.1110684411032,0.298,0.025,6.95934715216238e-64,18,"DEGs","No"
"Chir04Ox-b09930.2",0,3.34588614395871,0.846,0.032,0,19,"DEGs","No"
"Chir01Ox-b25590.2",0,1.02264215372456,0.808,0.034,0,20,"DEGs","No"
"Chir08Ox-b28260.2",1.99948074893591e-279,0.818467488674846,0.702,0.036,3.930979152408e-275,21,"DEGs","Yes"
"Chir04Ox-b28960.2",0,1.45176748918698,0.913,0.04,0,22,"DEGs","No"
"Chir06Ox-b11500.2",0,7.38282513620454,0.904,0.041,0,23,"DEGs","No"
"Chir05Ox-b19860.2",7.0327528244581e-216,0.630326723743534,0.673,0.042,1.38263920528846e-211,24,"DEGs","Yes"
"Chir02Ox-b03290.2",6.45584037875397e-92,1.15834961404271,0.817,0.128,1.26921821846303e-87,25,"DEGs","Yes"
"Chir01Ox-b30900.2",5.6950784240135e-74,0.745165475618555,0.827,0.187,1.11965241816106e-69,26,"DEGs","Yes"
"Chir06Ox-b31830.2",2.91399940854446e-40,0.725357772618551,0.74,0.212,5.7289228371984e-36,27,"DEGs","Yes"
"Chir08Ox-b20840.2",4.63875153322578e-38,0.683445274591699,0.865,0.345,9.11978551432189e-34,28,"DEGs","Yes"
"Chir07Ox-b26410.2",3.31639632270616e-38,1.27588556842777,0.894,0.482,6.5200351704403e-34,29,"DEGs","Yes"
"Chir04Ox-b02760.2",9.44648053193754e-30,0.870587368585026,0.942,0.502,1.85717807257892e-25,30,"DEGs","Yes"
