"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir01Ox-b25960.2",0,0.727832660882366,0.212,0,0,"Chir01Ox-b25960.2"
"Chir01Ox-b32310.2",0,0.769393808022344,0.172,0,0,"Chir01Ox-b32310.2"
"Chir04Ox-b22260.2",0,0.401816715510906,0.152,0,0,"Chir04Ox-b22260.2"
"Chir04Ox-b27390.2",0,0.702515167877979,0.219,0,0,"Chir04Ox-b27390.2"
"Chir05Ox-b28440.2",0,1.64841854667468,0.623,0.001,0,"Chir05Ox-b28440.2"
"Chir07Ox-b23500.2",0,1.91906007517998,0.894,0.001,0,"Chir07Ox-b23500.2"
"Chir07Ox-b35460.2",0,0.3406844068413,0.152,0.001,0,"Chir07Ox-b35460.2"
"Chir08Ox-b00900.2",0,0.38838175148701,0.272,0.001,0,"Chir08Ox-b00900.2"
"Chir08Ox-b13540.2",0,0.401654892826852,0.245,0.001,0,"Chir08Ox-b13540.2"
"Chir04Ox-b00240.2",0,1.42024070060721,0.179,0.001,0,"Chir04Ox-b00240.2"
"Chir06Ox-b36410.2",0,0.282336459676962,0.238,0.001,0,"Chir06Ox-b36410.2"
"Chir06Ox-b36830.2",0,0.915978654667527,0.318,0.001,0,"Chir06Ox-b36830.2"
"Chir03Ox-b16860.2",0,0.413998982740577,0.132,0.001,0,"Chir03Ox-b16860.2"
"Chir03Ox-b34530.2",0,0.519798035583942,0.139,0.001,0,"Chir03Ox-b34530.2"
"Chir04Ox-b01680.2",0,0.772298673097046,0.113,0.001,0,"Chir04Ox-b01680.2"
"Chir01Ox-b03780.2",0,1.78570899585668,0.477,0.002,0,"Chir01Ox-b03780.2"
"Chir02Ox-b15750.2",0,0.864053435535837,0.609,0.002,0,"Chir02Ox-b15750.2"
"Chir03Ox-b05620.2",0,3.64991339695028,0.523,0.002,0,"Chir03Ox-b05620.2"
"Chir03Ox-b35550.2",0,0.36182514064556,0.331,0.002,0,"Chir03Ox-b35550.2"
"Chir05Ox-b21110.2",0,2.69941459991933,0.483,0.002,0,"Chir05Ox-b21110.2"
"Chir06Ox-b31750.2",0,0.473289039327129,0.305,0.002,0,"Chir06Ox-b31750.2"
"Chir01Ox-b12390.2",0,0.522690187203026,0.199,0.002,0,"Chir01Ox-b12390.2"
"Chir07Ox-b18400.2",8.44462417141774e-243,0.30213772924534,0.152,0.002,1.66021311210073e-238,"Chir07Ox-b18400.2"
"Chir01Ox-b08370.2",0,1.27818452316013,0.536,0.003,0,"Chir01Ox-b08370.2"
"Chir02Ox-b18370.2",0,2.63158632987271,0.675,0.003,0,"Chir02Ox-b18370.2"
"Chir03Ox-b35560.2",0,2.63858447802883,0.788,0.003,0,"Chir03Ox-b35560.2"
"Chir06Ox-b31760.2",0,1.43065840790128,0.636,0.003,0,"Chir06Ox-b31760.2"
"Chir02Ox-b08470.2",1.59206597299429e-299,0.755758216447999,0.199,0.003,3.13000170290678e-295,"Chir02Ox-b08470.2"
"Chir01Ox-b31450.2",2.02074087796045e-281,0.264743988080765,0.192,0.003,3.97277656607025e-277,"Chir01Ox-b31450.2"
"Chir08Ox-b17510.2",3.0352983884321e-265,0.394970972287235,0.179,0.003,5.96739663165752e-261,"Chir08Ox-b17510.2"
"Chir08Ox-b02160.2",2.88157210230133e-193,0.622680092876641,0.152,0.003,5.66517075312441e-189,"Chir08Ox-b02160.2"
"Chir07Ox-b21540.2",1.03754352105293e-163,0.425913787760647,0.146,0.003,2.03981056239005e-159,"Chir07Ox-b21540.2"
