"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir02Ox-b20560.2",0,0.410769526780983,0.153,0.001,0,"Chir02Ox-b20560.2"
"Chir02Ox-b13370.2",0,0.347259324977168,0.175,0.002,0,"Chir02Ox-b13370.2"
"Chir06Ox-b13230.2",0,0.436221006961498,0.15,0.002,0,"Chir06Ox-b13230.2"
"Chir08Ox-b23570.2",0,0.27332156919868,0.161,0.002,0,"Chir08Ox-b23570.2"
"Chir03Ox-b21940.2",0,0.461177006101522,0.246,0.003,0,"Chir03Ox-b21940.2"
"Chir07Ox-b28870.2",0,0.328753272034704,0.15,0.003,0,"Chir07Ox-b28870.2"
"Chir03Ox-b34160.2",0,0.783874846742405,0.35,0.004,0,"Chir03Ox-b34160.2"
"Chir08Ox-b20700.2",0,0.313410570522283,0.205,0.004,0,"Chir08Ox-b20700.2"
"Chir01Ox-b24440.2",3.74027492053864e-289,0.437947609577889,0.142,0.004,7.35338049377897e-285,"Chir01Ox-b24440.2"
"Chir04Ox-b25890.2",3.36728676849985e-255,0.44866038413571,0.137,0.004,6.6200857868707e-251,"Chir04Ox-b25890.2"
"Chir02Ox-b03100.2",0,1.74716748631421,0.626,0.005,0,"Chir02Ox-b03100.2"
"Chir02Ox-b17040.2",0,1.24926434837994,0.702,0.005,0,"Chir02Ox-b17040.2"
"Chir03Ox-b23740.2",0,0.513161176966497,0.221,0.005,0,"Chir03Ox-b23740.2"
"Chir05Ox-b23900.2",4.18555292360434e-256,0.347139560529882,0.161,0.006,8.22879704780614e-252,"Chir05Ox-b23900.2"
"Chir07Ox-b06830.2",0,0.444153926705948,0.257,0.007,0,"Chir07Ox-b06830.2"
"Chir08Ox-b25430.2",0,0.378747162878934,0.238,0.008,0,"Chir08Ox-b25430.2"
"Chir06Ox-b35090.2",1.5606040925571e-225,1.30372776544464,0.178,0.008,3.06814764596727e-221,"Chir06Ox-b35090.2"
"Chir03Ox-b21630.2",0,0.898806576903712,0.481,0.009,0,"Chir03Ox-b21630.2"
"Chir08Ox-b10180.2",0,2.8855416618327,0.792,0.009,0,"Chir08Ox-b10180.2"
"Chir05Ox-b06280.2",3.10211443193638e-183,0.255865975180741,0.169,0.009,6.09875697318693e-179,"Chir05Ox-b06280.2"
"Chir05Ox-b14660.2",8.588158772564e-161,0.288029219643268,0.158,0.009,1.68843201468608e-156,"Chir05Ox-b14660.2"
"Chir08Ox-b07900.2",4.65556673049808e-285,0.675339081984635,0.221,0.01,9.15284419215923e-281,"Chir08Ox-b07900.2"
"Chir03Ox-b11640.2",2.34352801955456e-181,0.264289112516151,0.175,0.01,4.60737608644426e-177,"Chir03Ox-b11640.2"
"Chir03Ox-b11630.2",3.05046937587155e-179,0.265677479666239,0.169,0.01,5.99722279296347e-175,"Chir03Ox-b11630.2"
"Chir05Ox-b21370.2",1.66423532832316e-136,0.469125416934363,0.153,0.01,3.27188665548334e-132,"Chir05Ox-b21370.2"
"Chir08Ox-b15360.2",1.90423940346006e-82,0.408842779814985,0.115,0.01,3.74373466720248e-78,"Chir08Ox-b15360.2"
"Chir07Ox-b33780.2",0,0.497385192932603,0.358,0.011,0,"Chir07Ox-b33780.2"
"Chir02Ox-b16050.2",3.05269317826517e-190,0.254763190461457,0.191,0.012,6.00159478846932e-186,"Chir02Ox-b16050.2"
"Chir03Ox-b09230.2",1.04119435436281e-109,0.251987897483935,0.145,0.012,2.04698810067728e-105,"Chir03Ox-b09230.2"
"Chir03Ox-b33180.2",6.87688464577461e-188,0.271378433230833,0.199,0.013,1.35199552135929e-183,"Chir03Ox-b33180.2"
"Chir04Ox-b11850.2",0,0.827689123952521,0.396,0.014,0,"Chir04Ox-b11850.2"
"Chir01Ox-b24570.2",7.24114647580128e-198,0.545809908954044,0.213,0.014,1.42360939714253e-193,"Chir01Ox-b24570.2"
"Chir08Ox-b11580.2",1.1291222434505e-144,0.344533050027923,0.18,0.014,2.21985433062368e-140,"Chir08Ox-b11580.2"
"Chir05Ox-b18730.2",1.35731901872131e-137,0.298349426332605,0.18,0.014,2.6684891908061e-133,"Chir05Ox-b18730.2"
"Chir01Ox-b23240.2",0,0.768735131777634,0.473,0.015,0,"Chir01Ox-b23240.2"
"Chir07Ox-b36270.2",8.31794938411438e-122,0.508155784627402,0.18,0.016,1.63530884891689e-117,"Chir07Ox-b36270.2"
"Chir08Ox-b07320.2",1.41336951972594e-125,0.380716902394847,0.194,0.018,2.77868447578121e-121,"Chir08Ox-b07320.2"
"Chir08Ox-b14280.2",1.99912016951523e-108,0.359166974642256,0.178,0.018,3.93027025326695e-104,"Chir08Ox-b14280.2"
"Chir03Ox-b11670.2",4.22330727227292e-280,1.89741003801354,0.301,0.02,8.30302209728857e-276,"Chir03Ox-b11670.2"
"Chir07Ox-b31590.2",4.61079868250784e-31,0.376157803078593,0.107,0.02,9.06483020981041e-27,"Chir07Ox-b31590.2"
"Chir06Ox-b12190.2",0,0.829181807577854,0.492,0.021,0,"Chir06Ox-b12190.2"
"Chir08Ox-b15230.2",2.10855220349136e-149,0.420124131492146,0.227,0.021,4.14541363206402e-145,"Chir08Ox-b15230.2"
"Chir05Ox-b23360.2",4.02887756919272e-57,0.250165018804327,0.142,0.021,7.92077330103288e-53,"Chir05Ox-b23360.2"
"Chir03Ox-b23410.2",0,2.35673152724516,0.888,0.024,0,"Chir03Ox-b23410.2"
"Chir06Ox-b35280.2",7.48919731523124e-119,0.345272610786892,0.219,0.024,1.47237619217446e-114,"Chir06Ox-b35280.2"
"Chir05Ox-b03500.2",1.17872169356339e-46,0.330818858715693,0.142,0.024,2.31736684954562e-42,"Chir05Ox-b03500.2"
"Chir08Ox-b30210.2",0,0.883082483621674,0.489,0.025,0,"Chir08Ox-b30210.2"
"Chir08Ox-b19950.2",9.96919630097696e-189,1.55216524743545,0.273,0.025,1.95994399277207e-184,"Chir08Ox-b19950.2"
"Chir06Ox-b27250.2",7.02923332563472e-148,0.457925203885453,0.246,0.025,1.38194727181979e-143,"Chir06Ox-b27250.2"
"Chir04Ox-b29520.2",2.89503913101991e-104,0.344833520570431,0.208,0.025,5.69164693158514e-100,"Chir04Ox-b29520.2"
"Chir06Ox-b20310.2",0,0.892707080486389,0.374,0.026,0,"Chir06Ox-b20310.2"
