"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir08Ox-b19940.2",0,0.335507496551213,0.252,0.024,0,"Chir08Ox-b19940.2"
"Chir04Ox-b12750.2",1.90125443746418e-159,0.573866610645249,0.136,0.024,3.73786622405458e-155,"Chir04Ox-b12750.2"
"Chir02Ox-b02060.2",0,0.263935746725386,0.221,0.025,0,"Chir02Ox-b02060.2"
"Chir04Ox-b12770.2",1.417614553638e-112,0.462386897846061,0.122,0.026,2.78703021245231e-108,"Chir04Ox-b12770.2"
"Chir05Ox-b17800.2",0,0.331619623268572,0.271,0.028,0,"Chir05Ox-b17800.2"
"Chir06Ox-b30250.2",0,0.895273408837804,0.355,0.028,0,"Chir06Ox-b30250.2"
"Chir03Ox-b20470.2",2.25505804139638e-211,0.412015795059161,0.174,0.029,4.43344410938527e-207,"Chir03Ox-b20470.2"
"Chir01Ox-b35540.2",5.42655862646176e-68,0.447281204960712,0.104,0.029,1.06686142596238e-63,"Chir01Ox-b35540.2"
"Chir06Ox-b14120.2",0,0.395489882752918,0.357,0.031,0,"Chir06Ox-b14120.2"
"Chir03Ox-b33300.2",2.53990557242616e-202,0.283182547102421,0.176,0.031,4.99345435538982e-198,"Chir03Ox-b33300.2"
"Chir02Ox-b11260.2",0,0.686061336203346,0.557,0.032,0,"Chir02Ox-b11260.2"
"Chir08Ox-b25740.2",0,0.312922724522498,0.222,0.032,0,"Chir08Ox-b25740.2"
"Chir07Ox-b05960.2",4.50378369348204e-301,0.524220888188251,0.216,0.032,8.85443874138569e-297,"Chir07Ox-b05960.2"
"Chir02Ox-b23390.2",0,0.455061155894296,0.275,0.034,0,"Chir02Ox-b23390.2"
"Chir06Ox-b11030.2",0,0.499858577366638,0.393,0.037,0,"Chir06Ox-b11030.2"
"Chir01Ox-b05280.2",0,0.82878764916062,0.494,0.038,0,"Chir01Ox-b05280.2"
"Chir08Ox-b27370.2",0,0.67127252227391,0.381,0.038,0,"Chir08Ox-b27370.2"
"Chir02Ox-b00130.2",0,0.281040420752547,0.276,0.04,0,"Chir02Ox-b00130.2"
"Chir02Ox-b13040.2",0,0.254618089762108,0.253,0.042,0,"Chir02Ox-b13040.2"
"Chir03Ox-b29270.2",3.38977745782489e-305,0.328728590279283,0.251,0.043,6.66430248208373e-301,"Chir03Ox-b29270.2"
"Chir01Ox-b25300.2",0,0.571313823867722,0.446,0.045,0,"Chir01Ox-b25300.2"
"Chir06Ox-b22300.2",0,0.437511100597708,0.415,0.046,0,"Chir06Ox-b22300.2"
"Chir01Ox-b28890.2",8.61524157764401e-278,0.384366278991274,0.252,0.048,1.69375649416481e-273,"Chir01Ox-b28890.2"
"Chir07Ox-b36850.2",0,0.466768317661737,0.367,0.049,0,"Chir07Ox-b36850.2"
"Chir08Ox-b02570.2",0,0.268660669664894,0.31,0.049,0,"Chir08Ox-b02570.2"
"Chir01Ox-b33730.2",1.07593708669016e-188,0.250705191552707,0.214,0.049,2.11529231243285e-184,"Chir01Ox-b33730.2"
"Chir07Ox-b16300.2",2.40108465279416e-130,0.306453863140745,0.187,0.049,4.72053242739331e-126,"Chir07Ox-b16300.2"
"Chir08Ox-b09660.2",8.84945153191587e-263,0.386838828957618,0.255,0.051,1.73980217117466e-258,"Chir08Ox-b09660.2"
"Chir06Ox-b37740.2",0,0.415215323077281,0.325,0.053,0,"Chir06Ox-b37740.2"
"Chir01Ox-b08900.2",4.82742576985707e-125,0.65851362265732,0.19,0.053,9.49071906353899e-121,"Chir01Ox-b08900.2"
"Chir07Ox-b15060.2",0,0.524666339867475,0.344,0.054,0,"Chir07Ox-b15060.2"
"Chir07Ox-b24740.2",0,0.443979317389441,0.374,0.054,0,"Chir07Ox-b24740.2"
"Chir07Ox-b10310.2",1.7049208264529e-124,0.323811044016437,0.195,0.055,3.35187434480639e-120,"Chir07Ox-b10310.2"
"Chir04Ox-b25720.2",0,0.431830302147119,0.399,0.056,0,"Chir04Ox-b25720.2"
"Chir07Ox-b25700.2",5.02967215340114e-67,0.531944085437471,0.155,0.056,9.88833545358664e-63,"Chir07Ox-b25700.2"
"Chir07Ox-b02340.2",0,0.27675026966972,0.319,0.057,0,"Chir07Ox-b02340.2"
"Chir04Ox-b21990.2",0,0.879408915044042,0.354,0.058,0,"Chir04Ox-b21990.2"
"Chir05Ox-b13360.2",0,0.775582080380869,0.54,0.058,0,"Chir05Ox-b13360.2"
"Chir01Ox-b22670.2",0,0.458660283055161,0.402,0.059,0,"Chir01Ox-b22670.2"
"Chir03Ox-b05000.2",0,0.471650597902977,0.432,0.059,0,"Chir03Ox-b05000.2"
"Chir06Ox-b32770.2",0,0.422375087500963,0.351,0.059,0,"Chir06Ox-b32770.2"
"Chir04Ox-b21270.2",1.34364267128745e-248,0.29172965642326,0.272,0.059,2.64160149175112e-244,"Chir04Ox-b21270.2"
"Chir06Ox-b09250.2",0,0.275501926249716,0.305,0.06,0,"Chir06Ox-b09250.2"
"Chir07Ox-b15100.2",0,0.424031526969179,0.437,0.06,0,"Chir07Ox-b15100.2"
"Chir08Ox-b09440.2",0,0.299515991418678,0.303,0.06,0,"Chir08Ox-b09440.2"
"Chir07Ox-b10470.2",1.75967850851328e-221,0.256845195093211,0.262,0.061,3.45952794773711e-217,"Chir07Ox-b10470.2"
"Chir02Ox-b22970.2",0,0.70450703048139,0.345,0.063,0,"Chir02Ox-b22970.2"
"Chir05Ox-b17990.2",0,0.253212094655889,0.34,0.063,0,"Chir05Ox-b17990.2"
"Chir02Ox-b25190.2",0,0.362607271118021,0.359,0.064,0,"Chir02Ox-b25190.2"
"Chir04Ox-b01290.2",0,0.543128369085277,0.418,0.064,0,"Chir04Ox-b01290.2"
