"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir06Ox-b16750.2",3.37813190796248e-150,0.741946531177789,0.142,0.023,6.64140733105424e-146,"Chir06Ox-b16750.2"
"Chir03Ox-b15410.2",5.26756381995021e-121,0.320828509368044,0.129,0.023,1.03560304700221e-116,"Chir03Ox-b15410.2"
"Chir01Ox-b11440.2",0,0.810576846686944,0.21,0.024,0,"Chir01Ox-b11440.2"
"Chir03Ox-b15440.2",0,2.21349135904193,0.39,0.024,0,"Chir03Ox-b15440.2"
"Chir04Ox-b13120.2",0,0.288611757169803,0.277,0.024,0,"Chir04Ox-b13120.2"
"Chir05Ox-b27640.2",0,0.719962657816816,0.293,0.024,0,"Chir05Ox-b27640.2"
"Chir06Ox-b23160.2",0,0.550240130137513,0.372,0.024,0,"Chir06Ox-b23160.2"
"Chir06Ox-b31470.2",0,0.549026964818147,0.352,0.024,0,"Chir06Ox-b31470.2"
"Chir08Ox-b09000.2",1.28981037622143e-196,0.313260189758275,0.165,0.024,2.53576719965133e-192,"Chir08Ox-b09000.2"
"Chir02Ox-b22350.2",2.59361192883784e-275,0.422654507087259,0.198,0.025,5.09904105209519e-271,"Chir02Ox-b22350.2"
"Chir06Ox-b29510.2",6.28007950626847e-66,0.366957515650079,0.103,0.025,1.23466363093238e-61,"Chir06Ox-b29510.2"
"Chir01Ox-b21970.2",0,0.357154011455675,0.319,0.026,0,"Chir01Ox-b21970.2"
"Chir02Ox-b12090.2",2.6220452592594e-295,0.633834589871057,0.21,0.026,5.15494097970399e-291,"Chir02Ox-b12090.2"
"Chir03Ox-b00650.2",0,1.06623694579534,0.426,0.027,0,"Chir03Ox-b00650.2"
"Chir05Ox-b19860.2",0,0.598985709195192,0.417,0.027,0,"Chir05Ox-b19860.2"
"Chir02Ox-b23530.2",3.32492694380949e-212,0.27873423870783,0.184,0.027,6.53680637152946e-208,"Chir02Ox-b23530.2"
"Chir08Ox-b15700.2",7.27020504697642e-172,0.342274962301391,0.168,0.027,1.42932231223556e-167,"Chir08Ox-b15700.2"
"Chir07Ox-b33690.2",1.1707677807226e-173,0.421444037029605,0.168,0.028,2.30172945690063e-169,"Chir07Ox-b33690.2"
"Chir03Ox-b32770.2",1.34220564256114e-118,0.304657605850339,0.144,0.028,2.6387762932752e-114,"Chir03Ox-b32770.2"
"Chir03Ox-b16100.2",0,1.00543778584758,0.31,0.029,0,"Chir03Ox-b16100.2"
"Chir04Ox-b06770.2",0,0.269054363685763,0.275,0.029,0,"Chir04Ox-b06770.2"
"Chir08Ox-b09290.2",0,0.666577620400289,0.365,0.029,0,"Chir08Ox-b09290.2"
"Chir06Ox-b26160.2",8.44113610525949e-226,0.637041239890326,0.199,0.03,1.65952735829402e-221,"Chir06Ox-b26160.2"
"Chir02Ox-b16030.2",0,0.67751346565674,0.364,0.031,0,"Chir02Ox-b16030.2"
"Chir02Ox-b24760.2",1.50125519393206e-274,0.579484779684386,0.219,0.031,2.95146771127042e-270,"Chir02Ox-b24760.2"
"Chir04Ox-b01880.2",1.73110887116542e-248,0.320792471334418,0.213,0.031,3.40336004071121e-244,"Chir04Ox-b01880.2"
"Chir04Ox-b12630.2",0,0.433990830114077,0.322,0.033,0,"Chir04Ox-b12630.2"
"Chir05Ox-b06080.2",1.82003554369104e-144,0.349882236905751,0.171,0.033,3.57818987889659e-140,"Chir05Ox-b06080.2"
"Chir06Ox-b33630.2",3.15805206316919e-74,1.10024041229491,0.129,0.033,6.20873035619063e-70,"Chir06Ox-b33630.2"
"Chir02Ox-b00230.2",0,1.03030925709515,0.613,0.034,0,"Chir02Ox-b00230.2"
"Chir04Ox-b03520.2",0,0.394119330678029,0.322,0.034,0,"Chir04Ox-b03520.2"
"Chir02Ox-b21690.2",2.05107775669541e-278,0.30613765169697,0.235,0.034,4.03241886966318e-274,"Chir02Ox-b21690.2"
"Chir03Ox-b11900.2",5.70787293326535e-198,0.357655479196412,0.198,0.034,1.12216781867997e-193,"Chir03Ox-b11900.2"
"Chir07Ox-b13600.2",2.20322567411462e-142,0.42263818845919,0.171,0.034,4.33154167530934e-138,"Chir07Ox-b13600.2"
"Chir05Ox-b21880.2",0,1.73378654804764,0.316,0.035,0,"Chir05Ox-b21880.2"
"Chir08Ox-b23690.2",0,0.636992357929089,0.385,0.035,0,"Chir08Ox-b23690.2"
"Chir01Ox-b41510.2",9.60785574432425e-147,0.668985821997037,0.175,0.035,1.88890443933415e-142,"Chir01Ox-b41510.2"
"Chir01Ox-b17500.2",0,0.498351715221839,0.289,0.036,0,"Chir01Ox-b17500.2"
"Chir06Ox-b28760.2",0,0.53156635398684,0.353,0.036,0,"Chir06Ox-b28760.2"
"Chir04Ox-b30120.2",5.26053144492505e-63,0.265618206132067,0.128,0.036,1.03422048207226e-58,"Chir04Ox-b30120.2"
