"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir07Ox-b02670.2",9.76208693134662e-176,0.355395749008628,0.125,0.021,1.91922629070274e-171,"Chir07Ox-b02670.2"
"Chir08Ox-b24790.2",0,0.647697472094338,0.206,0.032,0,"Chir08Ox-b24790.2"
"Chir07Ox-b14860.2",1.22365983985983e-92,0.267915036629918,0.119,0.033,2.40571524516443e-88,"Chir07Ox-b14860.2"
"Chir03Ox-b00110.2",3.39497946805435e-71,0.382933013697786,0.112,0.036,6.67452963419485e-67,"Chir03Ox-b00110.2"
"Chir02Ox-b15590.2",0,1.06625347539338,0.28,0.061,0,"Chir02Ox-b15590.2"
"Chir07Ox-b03620.2",1.90284711407561e-166,0.282829523120617,0.218,0.062,3.74099742627266e-162,"Chir07Ox-b03620.2"
"Chir02Ox-b16950.2",9.54637197866272e-161,0.412334797963176,0.262,0.087,1.87681673100509e-156,"Chir02Ox-b16950.2"
"Chir02Ox-b20320.2",1.52125429838614e-149,0.28323405096194,0.269,0.095,2.99078595062715e-145,"Chir02Ox-b20320.2"
"Chir02Ox-b10470.2",0,0.393638935500502,0.408,0.096,0,"Chir02Ox-b10470.2"
"Chir05Ox-b28960.2",0,0.924188496182682,0.463,0.108,0,"Chir05Ox-b28960.2"
"Chir05Ox-b15760.2",0,0.679363457073929,0.436,0.132,0,"Chir05Ox-b15760.2"
"Chir08Ox-b29440.2",0,1.29125560864895,0.511,0.17,0,"Chir08Ox-b29440.2"
"Chir01Ox-b26840.2",3.22894077254435e-291,0.361896021606656,0.478,0.174,6.3480975588222e-287,"Chir01Ox-b26840.2"
"Chir01Ox-b19750.2",0,0.786916747970682,0.543,0.196,0,"Chir01Ox-b19750.2"
"Chir04Ox-b15600.2",0,0.544602991115335,0.712,0.264,0,"Chir04Ox-b15600.2"
"Chir04Ox-b02400.2",6.98895989503653e-261,1.24514188819118,0.572,0.271,1.37402951536418e-256,"Chir04Ox-b02400.2"
"Chir04Ox-b11550.2",0,0.702271748964504,0.737,0.287,0,"Chir04Ox-b11550.2"
"Chir01Ox-b21220.2",2.41954007094897e-259,0.773696487613664,0.604,0.302,4.75681577948567e-255,"Chir01Ox-b21220.2"
