"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir04Ox-b23490.2",0,0.272560328684534,0.24,0,0,"Chir04Ox-b23490.2"
"Chir05Ox-b23800.2",0,0.270146221597503,0.26,0,0,"Chir05Ox-b23800.2"
"Chir08Ox-b28480.2",0,0.319886418096401,0.135,0,0,"Chir08Ox-b28480.2"
"Chir05Ox-b01300.2",0,1.26974337434885,0.708,0.001,0,"Chir05Ox-b01300.2"
"Chir06Ox-b11410.2",0,3.37342580806694,0.51,0.001,0,"Chir06Ox-b11410.2"
"Chir06Ox-b21480.2",0,0.62848085786138,0.677,0.001,0,"Chir06Ox-b21480.2"
"Chir06Ox-b23300.2",0,0.414726801070109,0.51,0.001,0,"Chir06Ox-b23300.2"
"Chir07Ox-b35460.2",0,0.282137160473941,0.365,0.001,0,"Chir07Ox-b35460.2"
"Chir08Ox-b04810.2",0,0.335320770864666,0.5,0.001,0,"Chir08Ox-b04810.2"
"Chir04Ox-b01680.2",4.4019508639959e-235,0.356604864159756,0.115,0.001,8.65423539861594e-231,"Chir04Ox-b01680.2"
"Chir01Ox-b22260.2",0,0.548422752210858,0.417,0.002,0,"Chir01Ox-b22260.2"
"Chir02Ox-b08470.2",0,0.852832998644457,0.708,0.002,0,"Chir02Ox-b08470.2"
"Chir03Ox-b09370.2",0,0.849282917043732,0.74,0.002,0,"Chir03Ox-b09370.2"
"Chir06Ox-b11510.2",0,0.5790105052533,0.604,0.002,0,"Chir06Ox-b11510.2"
"Chir08Ox-b02160.2",0,0.863096655555669,0.542,0.002,0,"Chir08Ox-b02160.2"
"Chir06Ox-b11430.2",0,1.74956702853201,0.49,0.003,0,"Chir06Ox-b11430.2"
"Chir06Ox-b05920.2",1.1513139903054e-242,0.949675087691416,0.208,0.003,2.26348330494042e-238,"Chir06Ox-b05920.2"
"Chir06Ox-b20940.2",3.96607102094809e-161,0.505033826348041,0.177,0.003,7.79729562718395e-157,"Chir06Ox-b20940.2"
"Chir02Ox-b17620.2",0,2.97119717690339,0.969,0.004,0,"Chir02Ox-b17620.2"
"Chir06Ox-b11990.2",0,1.90113678272336,0.49,0.004,0,"Chir06Ox-b11990.2"
"Chir01Ox-b17020.2",0,0.774286345972973,0.76,0.005,0,"Chir01Ox-b17020.2"
"Chir03Ox-b24280.2",0,2.42896205742661,0.969,0.005,0,"Chir03Ox-b24280.2"
"Chir03Ox-b29700.2",0,0.543597473377051,0.51,0.005,0,"Chir03Ox-b29700.2"
"Chir07Ox-b01400.2",0,1.02888482379087,0.802,0.005,0,"Chir07Ox-b01400.2"
"Chir07Ox-b03170.2",6.82439574240195e-205,0.8971314534894,0.229,0.005,1.34167620295622e-200,"Chir07Ox-b03170.2"
"Chir02Ox-b19480.2",2.13214426864879e-62,0.339219002392371,0.125,0.005,4.19179563216353e-58,"Chir02Ox-b19480.2"
"Chir01Ox-b01210.2",0,3.96414441718212,0.969,0.006,0,"Chir01Ox-b01210.2"
"Chir04Ox-b21420.2",0,1.82503850316365,0.667,0.006,0,"Chir04Ox-b21420.2"
"Chir04Ox-b26400.2",0,0.27897843937904,0.438,0.006,0,"Chir04Ox-b26400.2"
"Chir05Ox-b23410.2",0,2.60679996558726,0.927,0.006,0,"Chir05Ox-b23410.2"
"Chir06Ox-b07470.2",0,0.440803524388362,0.604,0.007,0,"Chir06Ox-b07470.2"
"Chir02Ox-b11600.2",0,0.335535447207227,0.417,0.008,0,"Chir02Ox-b11600.2"
"Chir04Ox-b22430.2",0,0.283189877100929,0.479,0.008,0,"Chir04Ox-b22430.2"
"Chir06Ox-b11450.2",0,0.290613309022257,0.406,0.008,0,"Chir06Ox-b11450.2"
"Chir08Ox-b11790.2",0,0.570903716572927,0.562,0.008,0,"Chir08Ox-b11790.2"
"Chir05Ox-b22210.2",1.06095119271486e-68,0.389705050013591,0.177,0.008,2.08583004487741e-64,"Chir05Ox-b22210.2"
"Chir04Ox-b28800.2",0,0.977435559302794,0.76,0.009,0,"Chir04Ox-b28800.2"
"Chir06Ox-b36510.2",0,1.55182500304221,0.927,0.009,0,"Chir06Ox-b36510.2"
"Chir07Ox-b14910.2",0,0.624500517629645,0.458,0.009,0,"Chir07Ox-b14910.2"
"Chir08Ox-b15600.2",2.58278205484553e-131,0.774553846556118,0.25,0.009,5.07774951982631e-127,"Chir08Ox-b15600.2"
"Chir06Ox-b02740.2",0,0.441973502757678,0.479,0.01,0,"Chir06Ox-b02740.2"
"Chir06Ox-b13650.2",0,6.27117514504209,0.594,0.012,0,"Chir06Ox-b13650.2"
"Chir05Ox-b26400.2",4.88818155681871e-275,0.356986591205053,0.427,0.012,9.61016494070557e-271,"Chir05Ox-b26400.2"
"Chir06Ox-b36690.2",0,0.616558919591785,0.573,0.013,0,"Chir06Ox-b36690.2"
"Chir07Ox-b15170.2",0,1.90454944247697,0.854,0.013,0,"Chir07Ox-b15170.2"
"Chir08Ox-b16070.2",5.06627223308431e-132,0.416040389557702,0.333,0.015,9.96029121024376e-128,"Chir08Ox-b16070.2"
"Chir06Ox-b01800.2",1.49969616902967e-29,0.405238438938288,0.156,0.015,2.94840266831233e-25,"Chir06Ox-b01800.2"
"Chir08Ox-b09940.2",0,3.93869182393057,0.99,0.016,0,"Chir08Ox-b09940.2"
"Chir01Ox-b27220.2",0,2.88705493896158,0.938,0.017,0,"Chir01Ox-b27220.2"
"Chir01Ox-b41180.2",1.19085572799176e-248,0.567693407114738,0.479,0.017,2.34122236123181e-244,"Chir01Ox-b41180.2"
"Chir04Ox-b09590.2",4.37746998848732e-135,0.311342336379931,0.354,0.017,8.60610599736608e-131,"Chir04Ox-b09590.2"
"Chir01Ox-b40990.2",1.46323187533611e-61,0.279400517716318,0.24,0.017,2.87671386691079e-57,"Chir01Ox-b40990.2"
"Chir08Ox-b30160.2",0,2.45425967354976,1,0.019,0,"Chir08Ox-b30160.2"
"Chir06Ox-b13660.2",0,6.86743317966856,0.833,0.02,0,"Chir06Ox-b13660.2"
"Chir04Ox-b11570.2",0,1.02183480198099,0.865,0.021,0,"Chir04Ox-b11570.2"
"Chir08Ox-b15230.2",0,0.684894106340701,0.781,0.021,0,"Chir08Ox-b15230.2"
"Chir04Ox-b13790.2",2.57454514593084e-129,0.317423853391447,0.385,0.021,5.06155575690003e-125,"Chir04Ox-b13790.2"
"Chir01Ox-b42310.2",6.41889473028084e-160,0.272150926093499,0.448,0.023,1.26195470397321e-155,"Chir01Ox-b42310.2"
"Chir01Ox-b13430.2",2.35327154981677e-09,0.286038355790204,0.115,0.023,4.62653186693977e-05,"Chir01Ox-b13430.2"
"Chir08Ox-b30170.2",9.47368948188092e-75,1.18330096359751,0.323,0.025,1.86252735213779e-70,"Chir08Ox-b30170.2"
"Chir04Ox-b14410.2",1.06986461312421e-153,0.515446869766384,0.479,0.027,2.1033538294022e-149,"Chir04Ox-b14410.2"
"Chir05Ox-b26380.2",0,0.723339474307671,0.771,0.028,0,"Chir05Ox-b26380.2"
"Chir07Ox-b32040.2",9.52838905757596e-256,0.531859830639706,0.625,0.028,1.87328128871943e-251,"Chir07Ox-b32040.2"
"Chir08Ox-b10640.2",5.64008238930249e-172,0.325513421546536,0.521,0.029,1.10884019773687e-167,"Chir08Ox-b10640.2"
"Chir04Ox-b02130.2",2.12420681187798e-218,0.36382343065916,0.594,0.03,4.1761905921521e-214,"Chir04Ox-b02130.2"
"Chir05Ox-b22220.2",5.78471366987428e-125,0.447310068709288,0.448,0.03,1.13727470749728e-120,"Chir05Ox-b22220.2"
"Chir02Ox-b17390.2",1.05360326391109e-45,1.05840782626184,0.281,0.03,2.07138401684919e-41,"Chir02Ox-b17390.2"
"Chir05Ox-b18920.2",1.38884512475731e-230,0.490820242044818,0.615,0.031,2.73046951527286e-226,"Chir05Ox-b18920.2"
"Chir02Ox-b22350.2",4.39814993618642e-202,0.472394968824899,0.583,0.031,8.64676277454251e-198,"Chir02Ox-b22350.2"
"Chir06Ox-b30840.2",4.33393881964956e-177,0.506770240678732,0.542,0.031,8.52052371943104e-173,"Chir06Ox-b30840.2"
"Chir04Ox-b09930.2",0,3.45805819198961,0.896,0.032,0,"Chir04Ox-b09930.2"
"Chir01Ox-b02560.2",5.60110932264506e-115,0.369766057022412,0.448,0.032,1.10117809283202e-110,"Chir01Ox-b02560.2"
"Chir01Ox-b04070.2",0,0.943919933163333,0.885,0.033,0,"Chir01Ox-b04070.2"
"Chir03Ox-b14230.2",7.91073628004623e-76,0.356863559503856,0.375,0.033,1.55525075265709e-71,"Chir03Ox-b14230.2"
"Chir01Ox-b25590.2",0,1.08203442568112,0.875,0.034,0,"Chir01Ox-b25590.2"
"Chir08Ox-b20180.2",3.29087573405794e-242,0.528745314302114,0.677,0.035,6.46986169315791e-238,"Chir08Ox-b20180.2"
"Chir01Ox-b23540.2",9.265199999474e-147,0.302021272172034,0.531,0.035,1.82153831989659e-142,"Chir01Ox-b23540.2"
"Chir08Ox-b28260.2",0,0.877326023126448,0.771,0.036,0,"Chir08Ox-b28260.2"
"Chir02Ox-b23140.2",1.5999115895556e-233,0.801300629881936,0.667,0.036,3.14542618506631e-229,"Chir02Ox-b23140.2"
"Chir03Ox-b20250.2",5.38619400701184e-220,0.502643728232459,0.656,0.036,1.05892574177853e-215,"Chir03Ox-b20250.2"
"Chir07Ox-b35070.2",7.09961832935135e-117,0.304841008249899,0.49,0.036,1.39578496355048e-112,"Chir07Ox-b35070.2"
"Chir02Ox-b23160.2",4.95248654981252e-147,0.435417061851705,0.552,0.038,9.73658855693141e-143,"Chir02Ox-b23160.2"
"Chir07Ox-b13600.2",1.10986105414509e-114,0.488415394138,0.5,0.039,2.18198683244925e-110,"Chir07Ox-b13600.2"
"Chir08Ox-b21540.2",4.07947155098584e-63,0.310358226273842,0.375,0.039,8.02024106923817e-59,"Chir08Ox-b21540.2"
"Chir04Ox-b28960.2",0,1.53212999660102,0.969,0.04,0,"Chir04Ox-b28960.2"
"Chir02Ox-b02280.2",1.19602620928478e-64,0.458018902696781,0.385,0.04,2.35138752745388e-60,"Chir02Ox-b02280.2"
"Chir06Ox-b11500.2",0,7.48993168363239,0.927,0.041,0,"Chir06Ox-b11500.2"
"Chir06Ox-b13450.2",1.58849706116115e-12,0.388340246638189,0.188,0.041,3.12298522224283e-08,"Chir06Ox-b13450.2"
"Chir05Ox-b19860.2",2.67642829110493e-222,0.664534448671289,0.708,0.042,5.26185802031229e-218,"Chir05Ox-b19860.2"
"Chir08Ox-b09290.2",1.47693919618724e-96,0.499146623348377,0.479,0.042,2.90366245970412e-92,"Chir08Ox-b09290.2"
