gene_id,PR05826,PR05827,PR05851,,Genotype,BLS:STM
AT5G44635,11.54496528,10.20508308,3.464257612,,,
AT5G44640,0,0,0,,,
AT5G44650,66.74342331,80.11642311,70.01627515,,,
AT5G44660,37.3661069,43.82333379,54.00230757,,,
AT5G44670,9.325641853,8.123849385,2.375490934,,,
AT5G44680,24.35321413,25.40265037,21.44224356,,,
AT5G44690,0,0,0,,,
AT5G44700,0.124044185,0.166902471,0.142875104,,,
AT5G44710,57.24153414,62.33256348,44.32110565,,,
AT5G44720,50.73605223,44.09301315,59.50036013,,,
AT5G44730,97.58733728,101.1742242,52.1682769,,,
AT5G44740,8.729798466,8.265714673,3.112278322,,,
AT5G44750,27.24429024,25.59275094,14.61639441,,,
AT5G44760,0,0,0,,,
AT5G44770,0,0,0,,,
AT5G44780,5.123664493,5.372645865,2.81886265,,,
AT5G44785,33.16719375,33.58806736,28.53044891,,,
AT5G44790,13.40212003,13.56623926,11.68470243,,,
AT5G44800,18.30091986,17.89913054,12.36414424,,,
AT5G44820,0.647614018,0,1.459422596,,,
AT5G44830,0,0,0,,,
AT5G44840,0,0,0,,,
AT5G44850,0,0,0,,,
AT5G44860,11.90644405,14.93777115,9.062319361,,,
AT5G44870,2.433391697,3.366419988,6.11520086,,,
AT5G44894,0,0,0,,,
AT5G44900,0,0,0,,,
AT5G44910,0.214087279,0,0.81373866,,,
AT5G44920,0,0,0,,,
AT5G44930,6.674508434,6.876757708,2.701465731,,,
AT5G44940,0,0,0,,,
AT5G44950,0,0,0,,,
AT5G44960,0,0,0,,,
AT5G44970,0,0,0,,,
AT5G44973,1.810804243,1.218225996,12.86181105,,,
AT5G44980,0.190125216,0,0.246361246,,,
AT5G44990,0,0,0.153010688,,,
AT5G45000,0.444078183,0.622407131,0.21312203,,,
AT5G45010,254.8448675,228.7699465,135.2345681,,,
AT5G45020,19.6429675,9.75079049,20.04393079,,,
AT5G45030,6.953329452,6.174114949,9.275014659,,,
AT5G45040,101.5576528,116.7437739,106.2946124,,,
AT5G45050,6.097854348,8.529652279,6.897516769,,,
AT5G45060,7.375912653,7.228036433,6.294959444,,,
AT5G45070,0,0,0,,,
AT5G45080,0,0,0,,,
AT5G45090,0,0,0,,,
AT5G45095,0.60334673,0.264719995,0.725154451,,,
AT5G45100,36.74057016,24.67010882,41.50894696,,,
AT5G45105,0,0,0,,,
AT5G45110,7.837563852,8.692917587,6.343557253,,,
AT5G45113,0,0,0,,,
AT5G45120,0,0,0,,,
AT5G45130,69.90365038,68.35702438,70.80740876,,,
AT5G45140,15.73891554,15.13574161,8.304055963,,,
AT5G45150,1.135690553,1.997420129,1.289410528,,,
AT5G45160,10.69687728,10.89473369,6.34618701,,,
AT5G45170,19.22354532,15.02587596,22.50980025,,,
AT5G45180,0,0,0,,,
AT5G45190,32.80367721,31.81163919,22.23392873,,,
AT5G45200,0.057474461,0.22371147,0,,,
AT5G45210,0.01484502,0,0,,,
AT5G45220,0.18943006,0.267623688,0.458192883,,,
AT5G45230,0,0,0,,,
AT5G45240,0.48431651,0.334400289,0,,,
AT5G45250,4.091984794,3.888971454,10.14166901,,,
AT5G45260,3.440543671,3.269158449,4.569309868,,,
AT5G45275,5.643655607,3.735750822,2.790368294,,,
AT5G45280,3.674218304,4.934799396,10.54954048,,,
AT5G45290,18.77251895,17.72051133,21.4696094,,,
AT5G45300,8.364545108,11.35054118,6.771720848,,,
AT5G45310,0.381596928,0,0.862148042,,,
AT5G45320,0.572764156,0.472904313,2.338987505,,,
AT5G45330,6.86561434,6.964866372,6.822885687,,,
AT5G45340,0.379635803,0.630992057,1.929121823,,,
AT5G45350,10.65288676,19.50302255,43.95103076,,,
AT5G45360,41.31654855,52.51309831,49.35825537,,,
AT5G45370,6.971174975,4.489152166,5.764337208,,,
AT5G45380,0,0.326300249,0.533258526,,,
AT5G45390,259.7882634,263.231058,198.8799503,,,
AT5G45400,4.295182431,4.334402447,1.090066776,,,
AT5G45410,22.17369977,17.80338439,31.31589012,,,
AT5G45420,43.85391438,46.37937009,27.31536934,,,
AT5G45428,37.9933557,24.39835954,13.21356586,,,
AT5G45430,35.93480661,41.05198266,44.21855878,,,
AT5G45440,2.657643692,3.224320054,2.270026002,,,
AT5G45450,0,0,0,,,
AT5G45460,0.544584515,0.297057949,0.864597326,,,
AT5G45469,1.845256379,1.432389014,0.980945234,,,
AT5G45470,17.92703163,17.01734321,20.85498618,,,
AT5G45480,9.854354527,8.693850861,9.562819467,,,
AT5G45490,68.47560497,78.34966162,122.5925944,,,
AT5G45500,11.90536028,14.20829709,12.98608846,,,
AT5G45510,17.95315262,17.32195179,22.84988803,,,
AT5G45520,0.45244267,0.904195565,2.559653969,,,
AT5G45530,0.363117747,0.130869084,1.56840743,,,
AT5G45540,0.360859552,0,0.489862576,,,
AT5G45550,27.5355886,25.17291063,26.19032946,,,
AT5G45560,12.088795,11.77801761,7.658184943,,,
AT5G45570,0.044953685,0,0,,,
AT5G45573,0,0,0,,,
AT5G45580,0,0,0.135111325,,,
AT5G45590,45.13944141,47.77511289,21.40039142,,,
AT5G45600,39.09758976,48.39504667,20.89705079,,,
AT5G45610,15.23044033,13.7372084,8.992629703,,,
AT5G45620,63.02773736,55.63258282,37.6086038,,,
AT5G45630,0,0,1.245373949,,,
AT5G45640,0,0,0,,,
AT5G45650,9.498338925,8.4628509,12.45472227,,,
AT5G45660,19.12601046,20.72862516,11.1199001,,,
AT5G45670,112.2388239,72.82060556,32.10568894,,,
AT5G45680,61.5264303,42.07591327,102.3597577,,,
AT5G45690,0,0,0,,,
AT5G45700,32.94528746,28.8413889,9.901977392,,,
AT5G45710,10.12224453,13.65985778,14.95303584,,,
