GeneID,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value
Chir06Ox_b22480.2,2.816818425,6.81E-16
Chir02Ox_b17560.2,4.092202792,8.07E-16
Chir05Ox_b17540.2,2.630073489,9.54E-16
Chir01Ox_b06830.2,3.03628872,1.03E-15
Chir06Ox_b35600.2,3.120771521,1.14E-15
Chir08Ox_b09170.2,3.121230942,1.65E-15
Chir08Ox_b25130.2,2.65670067,1.77E-15
Chir06Ox_b27580.2,2.540037608,1.90E-15
Chir03Ox_b04880.2,2.570183734,3.12E-15
Chir05Ox_b17290.2,3.553083216,3.16E-15
Chir07Ox_b24490.2,3.365369268,3.26E-15
Chir01Ox_b00930.2,2.95725083,3.31E-15
Chir07Ox_b34810.2,3.304411317,4.84E-15
Chir06Ox_b09670.2,2.855256135,5.71E-15
Chir07Ox_b18650.2,4.191356571,8.74E-15
Chir08Ox_b25850.2,3.440584138,1.14E-14
Chir07Ox_b24840.2,2.730672552,1.29E-14
Chir07Ox_b36050.2,4.606218646,1.40E-14
Chir06Ox_b11230.2,4.832203157,1.92E-14
Chir03Ox_b08590.2,3.856180458,1.92E-14
Chir08Ox_b06310.2,2.65603387,3.05E-14
Chir08Ox_b26860.2,2.710180843,3.37E-14
Chir03Ox_b21220.2,3.255763246,3.41E-14
Chir04Ox_b11600.2,3.072570878,5.25E-14
Chir03Ox_b08610.2,5.005617813,6.59E-14
Chir03Ox_b09450.2,2.880953812,6.59E-14
Chir01Ox_b19210.2,5.423177839,8.90E-14
Chir06Ox_b28010.2,3.087725675,1.01E-13
Chir07Ox_b13870.2,2.49254242,1.42E-13
Chir07Ox_b33530.2,4.338230733,1.57E-13
Chir04Ox_b29980.2,2.852566633,1.76E-13
Chir01Ox_b43930.2,2.984043717,1.88E-13
Chir02Ox_b12380.2,4.095023826,1.94E-13
Chir03Ox_b02190.2,2.447861314,2.63E-13
Chir03Ox_b09730.2,2.398533985,2.69E-13
Chir04Ox_b23780.2,3.788011237,2.79E-13
Chir03Ox_b06020.2,2.825431053,2.85E-13
Chir02Ox_b25300.2,3.472639579,3.21E-13
Chir01Ox_b13460.2,3.550864141,4.47E-13
Chir07Ox_b27030.2,4.598928248,5.65E-13
Chir03Ox_b01680.2,2.372042772,5.72E-13
Chir01Ox_b22240.2,2.400903969,6.90E-13
Chir01Ox_b39460.2,2.625628061,7.08E-13
Chir06Ox_b35330.2,2.473007295,7.73E-13
Chir02Ox_b19770.2,3.271718489,9.27E-13
Chir04Ox_b29430.2,2.570294714,9.77E-13
Chir07Ox_b17870.2,2.674748713,9.89E-13
Chir04Ox_b22620.2,2.701735923,1.08E-12
Chir03Ox_b06370.2,2.62688882,1.24E-12
Chir02Ox_b18190.2,2.530031557,1.65E-12
Chir03Ox_b01990.2,4.173245329,1.70E-12
Chir02Ox_b21260.2,2.482223119,1.99E-12
Chir06Ox_b36730.2,3.329702706,2.10E-12
Chir04Ox_b12170.2,3.272240858,3.46E-12
Chir06Ox_b35240.2,3.303907281,3.57E-12
Chir05Ox_b02040.2,2.968108306,3.92E-12
Chir07Ox_b31230.2,2.947436829,4.23E-12
Chir08Ox_b27240.2,3.176270267,4.49E-12
