GeneID,log2FC_Ox_WT_leaf_protoplast,Ox.leaf.vs.protoplast_q_value
Chir02Ox_b21920.2,2.503338957,7.56E-06
Chir03Ox_b27450.2,3.006773539,7.57E-06
Chir01Ox_b14530.2,2.743753868,7.84E-06
Chir05Ox_b00660.2,1.538819768,8.52E-06
Chir06Ox_b15100.2,2.890752613,8.59E-06
Chir01Ox_b26500.2,1.499950632,8.67E-06
Chir06Ox_b17520.2,1.744885911,8.75E-06
Chir08Ox_b04010.2,1.603739197,9.07E-06
Chir03Ox_b07410.2,1.43862577,9.07E-06
Chir05Ox_b19280.2,1.708369362,9.26E-06
Chir08Ox_b28150.2,1.466566029,9.50E-06
Chir01Ox_b18310.2,2.468368771,9.89E-06
Chir07Ox_b08920.2,1.507470838,1.02E-05
Chir03Ox_b10950.2,1.419045871,1.18E-05
Chir06Ox_b25890.2,1.394580984,1.20E-05
Chir05Ox_b27920.2,1.440647659,1.26E-05
Chir08Ox_b24400.2,1.928813683,1.32E-05
Chir07Ox_b29950.2,1.150971716,1.32E-05
Chir03Ox_b17260.2,1.500923047,1.35E-05
Chir06Ox_b29990.2,1.377059963,1.38E-05
Chir08Ox_b03140.2,1.384644096,1.53E-05
Chir07Ox_b27560.2,1.710991926,1.57E-05
Chir06Ox_b25480.2,1.367310172,1.60E-05
Chir08Ox_b04040.2,1.551518093,1.61E-05
Chir04Ox_b01780.2,1.736304187,1.67E-05
Chir05Ox_b21000.2,1.425253957,1.75E-05
Chir03Ox_b17170.2,1.887515895,1.76E-05
Chir02Ox_b02550.2,2.527252533,1.77E-05
Chir08Ox_b06140.2,1.382890471,1.77E-05
Chir08Ox_b17990.2,1.410859869,1.79E-05
Chir08Ox_b16840.2,1.826146347,1.80E-05
Chir01Ox_b03850.2,1.329686543,1.81E-05
Chir01Ox_b05160.2,1.926909507,1.85E-05
Chir01Ox_b09200.2,1.87611388,1.85E-05
Chir01Ox_b07360.2,1.462286968,1.85E-05
Chir01Ox_b07380.2,1.514760433,1.90E-05
Chir03Ox_b10230.2,2.019071854,1.92E-05
Chir06Ox_b35830.2,1.40359155,1.98E-05
Chir02Ox_b07370.2,1.007134154,1.99E-05
Chir01Ox_b12680.2,1.928893643,2.05E-05
Chir05Ox_b28970.2,1.615057482,2.05E-05
Chir08Ox_b04700.2,2.492852916,2.13E-05
Chir01Ox_b09760.2,1.445568029,2.21E-05
Chir05Ox_b17530.2,1.38663055,2.22E-05
Chir03Ox_b02040.2,1.537512791,2.25E-05
Chir08Ox_b00700.2,1.388345541,2.25E-05
Chir06Ox_b28550.2,1.813703039,2.26E-05
Chir05Ox_b10810.2,2.664367164,2.38E-05
Chir08Ox_b25370.2,1.895691878,2.67E-05
Chir07Ox_b31360.2,1.35942952,2.70E-05
Chir04Ox_b28830.2,1.618609328,2.84E-05
Chir04Ox_b11910.2,1.831173139,2.88E-05
Chir08Ox_b13670.2,3.159370555,2.96E-05
Chir06Ox_b26270.2,1.441640785,3.08E-05
Chir07Ox_b24020.2,2.317095117,3.11E-05
Chir02Ox_b21880.2,1.408434397,3.12E-05
Chir05Ox_b03020.2,2.438053978,3.13E-05
Chir07Ox_b27510.2,1.357047058,3.15E-05
Chir01Ox_b04310.2,2.667332219,3.18E-05
Chir03Ox_b10290.2,1.641865044,3.23E-05
Chir07Ox_b22060.2,1.364033117,3.26E-05
Chir06Ox_b03760.2,1.307916248,3.51E-05
Chir05Ox_b12350.2,2.996327463,3.58E-05
Chir07Ox_b05870.2,1.388144828,3.60E-05
Chir02Ox_b25120.2,1.477622809,3.69E-05
Chir06Ox_b37660.2,1.349806451,3.76E-05
Chir06Ox_b35230.2,2.92860906,3.79E-05
Chir02Ox_b01790.2,2.117896108,3.79E-05
Chir02Ox_b27280.2,1.524944138,3.89E-05
Chir01Ox_b09150.2,1.472423592,3.92E-05
Chir03Ox_b12330.2,1.285717043,3.92E-05
Chir05Ox_b03190.2,2.677181773,4.00E-05
Chir05Ox_b06010.2,2.09261215,4.03E-05
Chir02Ox_b16560.2,1.41825078,4.10E-05
Chir07Ox_b30560.2,1.254862277,4.11E-05
Chir05Ox_b23740.2,2.589901707,4.16E-05
Chir03Ox_b07960.2,1.372536441,4.16E-05
Chir03Ox_b08600.2,1.723420049,4.31E-05
Chir05Ox_b11470.2,2.21437351,4.51E-05
Chir01Ox_b05690.2,1.351710964,4.62E-05
Chir04Ox_b01820.2,1.755806719,4.73E-05
Chir06Ox_b17620.2,1.643725828,4.73E-05
Chir04Ox_b08870.2,2.803553957,4.76E-05
Chir07Ox_b14990.2,1.44977833,4.79E-05
Chir01Ox_b44370.2,2.514615767,4.83E-05
Chir02Ox_b09480.2,1.559866599,4.93E-05
Chir04Ox_b24220.2,2.880310068,5.03E-05
Chir06Ox_b12530.2,1.335296683,5.10E-05
Chir01Ox_b15620.2,1.329624764,5.11E-05
Chir04Ox_b11090.2,1.365225305,5.14E-05
Chir06Ox_b09340.2,1.274722608,5.74E-05
Chir08Ox_b02360.2,2.281388748,5.92E-05
Chir05Ox_b14770.2,1.324206844,5.98E-05
Chir01Ox_b18770.2,1.29077935,6.03E-05
Chir06Ox_b20910.2,1.463340912,6.20E-05
Chir01Ox_b34420.2,2.144195315,6.23E-05
Chir08Ox_b26540.2,2.071889478,6.39E-05
Chir06Ox_b33570.2,2.062446773,6.46E-05
Chir01Ox_b11530.2,3.480004218,6.53E-05
Chir07Ox_b22690.2,1.359918349,6.53E-05
Chir06Ox_b33770.2,1.595345684,6.65E-05
Chir06Ox_b27530.2,1.322757078,6.65E-05
Chir05Ox_b18330.2,1.529216917,6.72E-05
Chir02Ox_b13170.2,1.489686238,6.84E-05
Chir06Ox_b28720.2,1.332643035,6.87E-05
Chir06Ox_b24470.2,1.5380968,6.94E-05
Chir01Ox_b20350.2,1.957674699,6.96E-05
Chir05Ox_b23080.2,1.3954304,6.96E-05
Chir04Ox_b15680.2,2.121638806,7.14E-05
Chir06Ox_b03640.2,1.945285767,7.14E-05
Chir05Ox_b22190.2,1.88173757,7.14E-05
Chir03Ox_b15730.2,1.551101766,7.15E-05
Chir03Ox_b15520.2,1.649062493,7.19E-05
Chir03Ox_b12320.2,1.253461357,7.52E-05
Chir04Ox_b29200.2,1.394872297,7.53E-05
Chir01Ox_b15540.2,2.700797171,7.64E-05
Chir08Ox_b26790.2,1.254556726,7.64E-05
Chir06Ox_b06950.2,1.798887516,7.77E-05
Chir07Ox_b27710.2,1.324554697,7.77E-05
Chir07Ox_b25140.2,1.369300333,7.86E-05
Chir07Ox_b27150.2,1.292136965,7.89E-05
Chir01Ox_b31530.2,2.427926255,7.96E-05
Chir01Ox_b00230.2,1.392864545,8.45E-05
Chir01Ox_b02120.2,1.574356988,8.55E-05
Chir03Ox_b05660.2,1.264739609,8.70E-05
Chir08Ox_b25890.2,1.781421209,8.77E-05
Chir03Ox_b34270.2,1.63496014,9.00E-05
Chir05Ox_b27440.2,1.177248229,9.01E-05
Chir06Ox_b19710.2,1.501524491,9.58E-05
Chir03Ox_b06770.2,1.477634499,9.59E-05
Chir08Ox_b24540.2,1.459593649,9.63E-05
Chir08Ox_b24980.2,1.634867182,9.85E-05
Chir01Ox_b28240.2,1.401388416,0.000101761
Chir06Ox_b33590.2,2.591434372,0.000103081
Chir01Ox_b13450.2,1.353908881,0.000104668
Chir02Ox_b03930.2,1.533501274,0.000105305
Chir08Ox_b27220.2,1.35347564,0.000105357
Chir06Ox_b24620.2,1.55241949,0.000106044
Chir02Ox_b24320.2,1.22090592,0.000111719
Chir01Ox_b00940.2,1.30978772,0.000112946
Chir06Ox_b00660.2,1.930624735,0.000113033
Chir03Ox_b14110.2,3.020637442,0.000114537
Chir03Ox_b17580.2,1.063846606,0.000115836
Chir08Ox_b15470.2,1.911922389,0.000118151
Chir07Ox_b24370.2,1.174208586,0.000121735
Chir07Ox_b29080.2,2.584657791,0.00012347
Chir07Ox_b33540.2,1.366467304,0.000131011
Chir08Ox_b13850.2,1.292410096,0.000133624
Chir06Ox_b36100.2,1.370049458,0.000134644
Chir05Ox_b19500.2,1.740774146,0.00013509
Chir04Ox_b05530.2,1.32204067,0.00013509
Chir06Ox_b34020.2,1.328781079,0.000136489
Chir08Ox_b25670.2,2.115486642,0.00013821
Chir08Ox_b05900.2,1.226647871,0.00013821
Chir01Ox_b20840.2,1.476599053,0.000140016
Chir05Ox_b21610.2,2.724462594,0.000142959
Chir01Ox_b29880.2,1.141854476,0.000143546
Chir06Ox_b20080.2,1.313444681,0.000146653
Chir02Ox_b28010.2,2.172073586,0.000147916
Chir03Ox_b32090.2,1.477384721,0.000147916
Chir07Ox_b29310.2,1.316899619,0.000147916
Chir01Ox_b34230.2,1.184658823,0.000147916
Chir01Ox_b07320.2,1.230660294,0.000156029
Chir05Ox_b16870.2,1.225813379,0.000156109
Chir08Ox_b05170.2,1.231357979,0.000163807
Chir04Ox_b30060.2,3.004106797,0.000163812
Chir03Ox_b33390.2,1.22093725,0.000165379
Chir01Ox_b03110.2,1.405459504,0.000167566
Chir02Ox_b01050.2,2.054222125,0.000167885
Chir08Ox_b09860.2,1.290452925,0.000170685
Chir02Ox_b17130.2,1.522371038,0.000176928
Chir06Ox_b35970.2,2.327779663,0.000179625
Chir02Ox_b17940.2,1.274719187,0.000179625
Chir07Ox_b12980.2,1.529130778,0.000181314
Chir01Ox_b02050.2,1.404632393,0.000183304
Chir03Ox_b10080.2,1.251493018,0.000183316
Chir06Ox_b35750.2,1.226931983,0.000186167
Chir02Ox_b23470.2,1.527316964,0.000187629
Chir05Ox_b27600.2,1.095026644,0.000190041
Chir08Ox_b04260.2,1.772191427,0.000190117
Chir05Ox_b20290.2,1.28150955,0.000197104
Chir05Ox_b19140.2,2.280421879,0.000200754
Chir01Ox_b06520.2,1.851204035,0.000204241
Chir01Ox_b08650.2,1.172038426,0.000204241
Chir04Ox_b29120.2,1.274115044,0.000205266
Chir05Ox_b21040.2,1.134560347,0.000207318
Chir06Ox_b20850.2,1.141209101,0.000207807
Chir05Ox_b14580.2,1.2910397,0.000209312
Chir08Ox_b26770.2,1.25294155,0.000211396
Chir08Ox_b19210.2,1.455407655,0.000212537
Chir07Ox_b25130.2,1.524208199,0.000219076
Chir03Ox_b10460.2,1.534797516,0.00022094
Chir08Ox_b06440.2,1.153621019,0.000222609
Chir01Ox_b05950.2,1.219134793,0.0002303
Chir06Ox_b15130.2,1.428694603,0.000236248
Chir05Ox_b24650.2,1.277100577,0.000240094
Chir06Ox_b17700.2,1.279891159,0.000242957
Chir02Ox_b01150.2,2.086466373,0.000244132
Chir01Ox_b40560.2,1.236991366,0.000244132
Chir02Ox_b17160.2,1.172610582,0.00024554
Chir02Ox_b19650.2,1.55164466,0.000248023
Chir07Ox_b25150.2,1.22977681,0.000248023
Chir08Ox_b02510.2,1.940353474,0.000248204
Chir01Ox_b41760.2,2.228873347,0.00025611
Chir07Ox_b19990.2,1.658591531,0.000261631
Chir07Ox_b00810.2,1.41293005,0.000269806
Chir01Ox_b19310.2,2.140466812,0.000273793
Chir05Ox_b23580.2,1.6767211,0.000273793
Chir01Ox_b27620.2,3.080878487,0.000274766
Chir03Ox_b16530.2,1.814694797,0.000274766
Chir02Ox_b23700.2,2.318506409,0.000276737
Chir06Ox_b03550.2,1.186258827,0.000276809
Chir03Ox_b16900.2,2.51486809,0.000279909
Chir02Ox_b08480.2,1.254013162,0.000280017
Chir03Ox_b07400.2,1.247904604,0.000291085
Chir08Ox_b27790.2,1.397982427,0.000291318
Chir03Ox_b23680.2,1.173220815,0.000293673
Chir07Ox_b20930.2,1.189044475,0.000296217
Chir03Ox_b11680.2,2.669880089,0.000298414
Chir08Ox_b20160.2,2.34220196,0.000298414
Chir01Ox_b17490.2,2.836561831,0.000301645
Chir07Ox_b22410.2,2.092579571,0.000305227
Chir03Ox_b31030.2,1.305032554,0.000306545
Chir07Ox_b17030.2,1.178227594,0.000308183
Chir06Ox_b25660.2,1.223203424,0.000312022
Chir04Ox_b11220.2,1.474890144,0.000316823
Chir03Ox_b02180.2,1.94990244,0.000324588
Chir04Ox_b24170.2,2.546179706,0.000327938
Chir08Ox_b20930.2,2.060223787,0.000329264
Chir07Ox_b36600.2,1.324626153,0.000332501
Chir01Ox_b00580.2,1.331341732,0.000336018
Chir07Ox_b14930.2,1.283736727,0.000357058
Chir07Ox_b13190.2,1.167628083,0.000357058
Chir01Ox_b17630.2,1.164333862,0.000387325
Chir08Ox_b30140.2,1.753503084,0.000392653
Chir06Ox_b27040.2,2.018064584,0.00039785
Chir07Ox_b26570.2,1.54991026,0.000399097
Chir07Ox_b16160.2,1.453491618,0.000401449
Chir01Ox_b07000.2,1.198405312,0.000401449
Chir08Ox_b17090.2,1.444177515,0.000402885
Chir04Ox_b25020.2,1.131163313,0.000407623
Chir08Ox_b26030.2,1.193753106,0.000421854
Chir01Ox_b26990.2,1.154761489,0.000452423
Chir01Ox_b09430.2,1.161580842,0.000453905
Chir02Ox_b28020.2,1.081808562,0.000461304
Chir03Ox_b21050.2,2.091778521,0.000463263
Chir07Ox_b11890.2,2.083725848,0.000463263
Chir02Ox_b25100.2,1.174342274,0.00046805
Chir06Ox_b01570.2,1.3848092,0.000476219
Chir02Ox_b01760.2,1.464131797,0.000484529
Chir03Ox_b09110.2,2.597028114,0.00048595
Chir04Ox_b02330.2,1.113243697,0.000492538
Chir07Ox_b27360.2,1.243668826,0.000507405
Chir01Ox_b04750.2,1.395646995,0.000508451
Chir07Ox_b28080.2,1.118556322,0.000513407
Chir07Ox_b24890.2,1.166263425,0.000527085
Chir06Ox_b08600.2,1.885334567,0.000538675
Chir05Ox_b00820.2,1.121032754,0.000540741
Chir08Ox_b29000.2,1.148286498,0.00054405
Chir01Ox_b25130.2,1.119561026,0.00054405
Chir01Ox_b12470.2,1.129757593,0.000544429
Chir03Ox_b08220.2,1.900914801,0.000551321
Chir06Ox_b34100.2,1.215300481,0.000554326
Chir02Ox_b24830.2,1.076534016,0.000554326
Chir06Ox_b05750.2,1.743980097,0.000559703
Chir05Ox_b05170.2,1.242495368,0.000559703
Chir01Ox_b39320.2,1.40790393,0.000564367
Chir01Ox_b09870.2,1.407995375,0.000574482
Chir05Ox_b10800.2,1.708227116,0.000579293
Chir08Ox_b13660.2,1.214012838,0.000579293
Chir07Ox_b33520.2,1.794715117,0.000583281
Chir08Ox_b11770.2,1.454432427,0.000590641
Chir03Ox_b14990.2,1.216014734,0.000608498
Chir05Ox_b11890.2,2.376401706,0.000609649
Chir08Ox_b27980.2,1.23681094,0.000615156
Chir05Ox_b04220.2,1.099990134,0.00061573
Chir03Ox_b22440.2,1.084088479,0.0006225
Chir03Ox_b35100.2,1.976771822,0.000623026
Chir02Ox_b14770.2,1.968028578,0.000630086
Chir08Ox_b25080.2,1.831497933,0.000630086
Chir05Ox_b17510.2,1.089232059,0.000632011
Chir01Ox_b26620.2,1.114983678,0.000635694
Chir08Ox_b05130.2,1.587448281,0.000645851
Chir06Ox_b01650.2,1.379021739,0.000651498
Chir03Ox_b25700.2,1.142538286,0.000661366
Chir05Ox_b13440.2,1.694422723,0.000661623
Chir02Ox_b17830.2,1.355316249,0.000679591
Chir01Ox_b29400.2,1.313365881,0.000679591
Chir01Ox_b30750.2,1.191667808,0.000680611
Chir08Ox_b27140.2,1.099346017,0.000680611
Chir04Ox_b18830.2,1.090278376,0.000680611
Chir01Ox_b07060.2,1.090472002,0.000681775
Chir04Ox_b28850.2,1.079509066,0.000720538
Chir08Ox_b16310.2,1.482658458,0.000727093
Chir02Ox_b16640.2,1.075579281,0.000747526
Chir07Ox_b30670.2,1.032983125,0.000754935
Chir01Ox_b09680.2,1.298575654,0.00076093
Chir07Ox_b32160.2,1.515741251,0.000767309
Chir05Ox_b28620.2,1.271698029,0.000768685
Chir02Ox_b24460.2,1.645552546,0.000770721
Chir03Ox_b18810.2,1.358371555,0.000777337
Chir07Ox_b37110.2,1.181868757,0.000777713
Chir02Ox_b19210.2,2.559433731,0.000780558
Chir05Ox_b04620.2,1.612841654,0.000785377
Chir02Ox_b19200.2,1.157774241,0.000790343
Chir04Ox_b23860.2,1.58195654,0.000795784
Chir02Ox_b14120.2,2.48557979,0.000798949
Chir02Ox_b01490.2,2.037863287,0.000800487
Chir06Ox_b20070.2,1.732540655,0.000800487
Chir07Ox_b31280.2,1.114495861,0.000810284
Chir05Ox_b22460.2,1.125191077,0.0008427
Chir01Ox_b05400.2,2.410543759,0.000849068
Chir01Ox_b09170.2,1.135096691,0.000849068
Chir02Ox_b14740.2,1.128371892,0.000849068
Chir03Ox_b13980.2,2.255868552,0.000853814
Chir04Ox_b26380.2,1.836523794,0.000855588
Chir02Ox_b01590.2,1.629941528,0.000859529
Chir08Ox_b21780.2,1.128965076,0.000864223
Chir06Ox_b21660.2,1.687720155,0.000889394
Chir04Ox_b22220.2,1.369785762,0.000890014
Chir03Ox_b15270.2,1.158144874,0.000892289
Chir01Ox_b17710.2,1.195641556,0.000923046
Chir02Ox_b12390.2,1.613033931,0.000935742
Chir04Ox_b19080.2,1.057309123,0.000935742
Chir02Ox_b23820.2,1.106335723,0.000957715
Chir01Ox_b31350.2,1.175523423,0.000962447
Chir05Ox_b09720.2,1.09608893,0.000983386
Chir03Ox_b03270.2,1.576159126,0.001027445
Chir01Ox_b05770.2,1.460438943,0.001030129
Chir06Ox_b30900.2,1.060585167,0.001035543
Chir02Ox_b27090.2,1.417611477,0.001038942
Chir06Ox_b34760.2,1.028760022,0.001041408
Chir07Ox_b14570.2,1.112432322,0.001124433
Chir06Ox_b05120.2,1.319610682,0.001125324
Chir01Ox_b00770.2,1.34129516,0.001142376
Chir04Ox_b24370.2,1.092819296,0.001179712
Chir07Ox_b12480.2,1.565586309,0.001183566
Chir02Ox_b23690.2,1.150078675,0.001183566
Chir05Ox_b21840.2,2.061127186,0.001198445
Chir04Ox_b27000.2,1.054322685,0.001198445
Chir01Ox_b12210.2,1.124888864,0.001212425
Chir02Ox_b14160.2,1.052470828,0.001222061
Chir07Ox_b22730.2,1.265946353,0.00123591
Chir02Ox_b17310.2,1.181341492,0.001239437
Chir02Ox_b03790.2,2.310120582,0.00125018
Chir01Ox_b27610.2,1.294963857,0.001256526
Chir04Ox_b00820.2,1.087802578,0.001259173
Chir02Ox_b26870.2,1.966402606,0.001273591
Chir07Ox_b31890.2,1.598803527,0.001335222
Chir06Ox_b00130.2,1.901101559,0.001346252
Chir06Ox_b24180.2,2.100064445,0.001349527
Chir04Ox_b18550.2,1.164327145,0.001361392
Chir02Ox_b24400.2,1.022655363,0.001361392
Chir07Ox_b29990.2,1.65040436,0.001375917
Chir04Ox_b12010.2,1.150013941,0.001377205
Chir04Ox_b17860.2,1.789050788,0.001389992
Chir03Ox_b06340.2,1.038169796,0.001412572
Chir04Ox_b03710.2,1.463082353,0.001429186
Chir02Ox_b24750.2,1.046454809,0.00144222
Chir08Ox_b21020.2,1.327541067,0.001445628
Chir02Ox_b27080.2,2.670888373,0.001452715
Chir01Ox_b19110.2,1.118698402,0.001484677
Chir04Ox_b30490.2,1.877749844,0.001488898
Chir07Ox_b17220.2,1.485825381,0.001491352
Chir03Ox_b32780.2,1.871459556,0.001531022
Chir08Ox_b01650.2,1.06989053,0.00153384
Chir04Ox_b24420.2,1.033901787,0.001534463
Chir04Ox_b01670.2,1.164492275,0.001555422
Chir07Ox_b02190.2,1.836001669,0.001561267
Chir01Ox_b10850.2,1.567651227,0.001571079
Chir01Ox_b25120.2,1.043634478,0.001579357
Chir03Ox_b10470.2,1.09589204,0.001588076
Chir06Ox_b14560.2,1.048767858,0.001588655
Chir03Ox_b17680.2,1.305677897,0.001629964
Chir06Ox_b37340.2,3.376880631,0.001645151
Chir04Ox_b30930.2,1.558546829,0.001726058
Chir07Ox_b31270.2,1.491813581,0.001727273
Chir01Ox_b18050.2,1.022074609,0.001732082
Chir08Ox_b02640.2,2.380122209,0.001748391
Chir06Ox_b28020.2,1.011886183,0.001790489
Chir02Ox_b26910.2,1.051681315,0.001813467
Chir02Ox_b24290.2,1.090162706,0.001814697
Chir01Ox_b13440.2,1.024968228,0.001837587
Chir05Ox_b08910.2,1.138952502,0.001869099
Chir04Ox_b30710.2,1.882057727,0.002002041
Chir08Ox_b01050.2,1.364746087,0.002003603
Chir03Ox_b07930.2,2.104735706,0.002004226
Chir06Ox_b23580.2,1.13312959,0.002006273
Chir01Ox_b01540.2,1.196009065,0.002010175
Chir01Ox_b19370.2,1.584151149,0.002013357
Chir01Ox_b06800.2,1.067246903,0.002014459
Chir06Ox_b00460.2,1.088363672,0.002069353
Chir06Ox_b31570.2,1.222983206,0.002073506
Chir07Ox_b24420.2,1.141701808,0.002078663
Chir08Ox_b28980.2,1.096427869,0.002128421
Chir06Ox_b17140.2,1.158582622,0.002152607
Chir07Ox_b00580.2,1.207177381,0.002174982
Chir05Ox_b18810.2,1.192983361,0.002193867
Chir04Ox_b28840.2,1.188381125,0.002223511
Chir04Ox_b26020.2,1.103545147,0.002224326
Chir05Ox_b27430.2,1.321079515,0.002235432
Chir06Ox_b20840.2,1.186222394,0.002259427
Chir08Ox_b28300.2,1.008033223,0.00227502
Chir01Ox_b08490.2,1.463144035,0.002293396
Chir06Ox_b00850.2,1.06353259,0.002299925
Chir07Ox_b34650.2,1.443356259,0.002300583
Chir02Ox_b21540.2,1.999053115,0.002321268
Chir07Ox_b25630.2,1.095419293,0.002410378
Chir01Ox_b07070.2,1.351682507,0.002469879
Chir06Ox_b25610.2,1.420608844,0.002476801
Chir06Ox_b34200.2,1.544423973,0.002545
Chir07Ox_b27310.2,1.08374948,0.00258133
Chir06Ox_b06960.2,1.057054721,0.002592897
Chir02Ox_b25740.2,1.734545603,0.002604863
Chir07Ox_b35450.2,1.609883246,0.002604863
Chir08Ox_b10220.2,1.230524226,0.002635721
Chir04Ox_b13210.2,2.214531055,0.002648892
Chir03Ox_b10000.2,1.089947551,0.002648892
Chir01Ox_b06820.2,1.086233858,0.002648892
Chir08Ox_b29060.2,1.007521596,0.002648892
Chir08Ox_b05140.2,1.863692553,0.002772082
Chir08Ox_b01010.2,1.197587267,0.002782499
Chir02Ox_b01020.2,1.609210567,0.002832956
Chir04Ox_b08130.2,1.234843406,0.002832956
Chir03Ox_b01580.2,1.681661728,0.002868808
Chir07Ox_b30420.2,1.448296519,0.002897035
Chir03Ox_b10570.2,1.870427422,0.002950739
Chir03Ox_b02430.2,1.895481931,0.00296014
Chir03Ox_b23600.2,1.014006043,0.002983785
Chir05Ox_b13960.2,1.317001749,0.003091304
Chir08Ox_b16960.2,1.248241701,0.003099237
Chir07Ox_b31450.2,1.06154057,0.003154011
Chir04Ox_b20980.2,2.790663081,0.003226507
Chir01Ox_b11550.2,1.978611473,0.003272962
Chir04Ox_b23030.2,1.324883124,0.003282814
Chir04Ox_b27630.2,1.036008053,0.003297401
Chir03Ox_b08640.2,1.139637166,0.003448343
Chir02Ox_b18840.2,1.041970821,0.003464464
Chir06Ox_b17800.2,1.779007175,0.003464657
Chir06Ox_b03630.2,1.964407902,0.003494277
Chir08Ox_b29120.2,1.682151109,0.003508648
Chir06Ox_b05290.2,1.251089055,0.003508648
Chir03Ox_b32610.2,1.164301071,0.003586152
Chir07Ox_b22550.2,1.031281657,0.003586152
Chir08Ox_b10540.2,1.471091931,0.003600243
Chir06Ox_b37130.2,2.100126062,0.00364871
Chir07Ox_b12780.2,1.164307449,0.003698846
Chir08Ox_b20290.2,1.535127865,0.003912611
Chir06Ox_b19020.2,1.070848807,0.003928216
Chir05Ox_b23100.2,1.21220745,0.003956947
Chir02Ox_b01290.2,2.233395611,0.003967246
Chir04Ox_b30770.2,1.232026938,0.003972856
Chir03Ox_b33100.2,1.194886808,0.003986114
Chir08Ox_b05010.2,1.854728034,0.00404651
Chir08Ox_b26610.2,1.327313905,0.004095299
Chir08Ox_b28960.2,1.278477198,0.004131826
Chir07Ox_b24750.2,1.272701691,0.004131826
Chir01Ox_b32980.2,1.054422254,0.004175148
Chir03Ox_b34140.2,1.468506174,0.004239146
Chir07Ox_b35130.2,1.745266744,0.004287995
Chir03Ox_b15430.2,2.214800449,0.004320689
Chir03Ox_b30800.2,1.98733141,0.004419365
Chir02Ox_b21290.2,1.341924358,0.004551427
Chir01Ox_b23300.2,2.286741104,0.00458335
Chir03Ox_b06710.2,1.762901072,0.004605655
Chir05Ox_b23890.2,2.0797562,0.00465708
Chir04Ox_b22720.2,1.068742173,0.004663404
Chir08Ox_b00430.2,1.556171187,0.004755607
Chir01Ox_b34360.2,1.027045645,0.004857039
Chir04Ox_b23630.2,1.384176386,0.004861033
Chir07Ox_b32540.2,1.269216109,0.004992579
Chir08Ox_b29880.2,1.0412107,0.005023106
Chir02Ox_b22210.2,1.880732641,0.005071881
Chir01Ox_b27300.2,1.110190748,0.005206058
Chir08Ox_b15180.2,1.796783621,0.005307736
Chir05Ox_b25570.2,1.237846643,0.005399384
Chir05Ox_b11820.2,1.507358248,0.005432283
Chir08Ox_b15270.2,1.007727592,0.005436649
Chir02Ox_b16140.2,1.17574355,0.005454443
Chir01Ox_b09690.2,1.117862317,0.005742179
Chir05Ox_b10440.2,1.658847215,0.005752772
Chir08Ox_b29960.2,1.179321728,0.00576067
Chir01Ox_b16080.2,2.1735595,0.005785421
Chir07Ox_b31340.2,1.554869119,0.00580564
Chir01Ox_b25310.2,2.827379704,0.005894952
Chir02Ox_b12300.2,2.15049603,0.005932605
Chir01Ox_b10050.2,1.162772055,0.005932605
Chir08Ox_b29100.2,1.110094782,0.005949011
Chir01Ox_b15880.2,1.334975445,0.005984528
Chir07Ox_b37100.2,1.209714344,0.006109691
Chir04Ox_b00830.2,1.021494824,0.00612049
Chir05Ox_b22930.2,1.137644528,0.006154549
Chir07Ox_b33900.2,1.120079367,0.006187922
Chir03Ox_b09410.2,1.163884935,0.006443839
Chir01Ox_b00450.2,1.409254663,0.006455625
Chir02Ox_b25470.2,2.031587701,0.006573029
Chir08Ox_b08110.2,1.527475929,0.006622642
Chir08Ox_b05040.2,1.741658063,0.006697249
Chir01Ox_b10750.2,1.203815663,0.006721433
Chir06Ox_b27090.2,1.036474183,0.006722484
ChirPtOx_b00850.2,1.071584178,0.006909593
Chir06Ox_b08960.2,1.797340299,0.006955669
Chir02Ox_b23870.2,1.416833396,0.007036908
Chir08Ox_b14890.2,1.108373514,0.007061437
Chir02Ox_b00810.2,1.528992473,0.007137616
Chir08Ox_b21410.2,1.652903365,0.007260549
Chir02Ox_b08700.2,2.030031091,0.007268431
Chir07Ox_b31430.2,1.414113315,0.007268431
Chir06Ox_b03920.2,1.727038781,0.007372121
Chir05Ox_b16180.2,1.027220999,0.007375633
Chir08Ox_b27970.2,1.887350521,0.007398015
Chir02Ox_b03820.2,1.085946843,0.007472596
Chir01Ox_b29250.2,1.264166199,0.007588542
Chir03Ox_b32010.2,2.57688778,0.007641002
Chir07Ox_b20060.2,1.086051498,0.007667764
Chir07Ox_b14440.2,1.898438851,0.007827795
Chir04Ox_b13690.2,1.279090129,0.007965029
Chir08Ox_b09870.2,1.053198996,0.007965029
Chir07Ox_b36580.2,1.385125446,0.008146059
Chir07Ox_b16450.2,1.536628907,0.008247905
Chir06Ox_b03890.2,1.054418172,0.008278581
Chir05Ox_b15480.2,1.198725719,0.008399904
Chir07Ox_b13330.2,1.129790793,0.008404579
Chir05Ox_b23130.2,1.119783959,0.008585961
Chir01Ox_b39250.2,1.371430025,0.008605142
Chir01Ox_b13770.2,1.058900731,0.008623655
Chir04Ox_b08570.2,1.754106718,0.008624653
Chir02Ox_b26860.2,1.006853495,0.008730804
Chir07Ox_b14410.2,1.350585052,0.008761252
Chir07Ox_b35170.2,1.237067759,0.008853737
Chir05Ox_b18400.2,1.04146671,0.008853737
