"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0102336","GO:0102336","3-oxo-arachidoyl-CoA synthase activity","4/272","23/21875",0.000171854159206162,0.00937520669513288,0.00821761163191555,"KCS3/AtCER6/FDH/KCS20",4
"GO:0102337","GO:0102337","3-oxo-cerotoyl-CoA synthase activity","4/272","23/21875",0.000171854159206162,0.00937520669513288,0.00821761163191555,"KCS3/AtCER6/FDH/KCS20",4
"GO:0102338","GO:0102338","3-oxo-lignoceronyl-CoA synthase activity","4/272","23/21875",0.000171854159206162,0.00937520669513288,0.00821761163191555,"KCS3/AtCER6/FDH/KCS20",4
"GO:0102756","GO:0102756","very-long-chain 3-ketoacyl-CoA synthase activity","4/272","23/21875",0.000171854159206162,0.00937520669513288,0.00821761163191555,"KCS3/AtCER6/FDH/KCS20",4
"GO:0003996","GO:0003996","acyl-CoA ligase activity","3/272","10/21875",0.000213883042474514,0.00937520669513288,0.00821761163191555,"LACS2/LACS3/CER8",3
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","3/272","10/21875",0.000213883042474514,0.00937520669513288,0.00821761163191555,"LACS2/LACS3/CER8",3
"GO:0031956","GO:0031956","medium-chain fatty acid-CoA ligase activity","3/272","13/21875",0.000495843449261348,0.0186295467365335,0.016329280509509,"LACS2/LACS3/CER8",3
"GO:0015645","GO:0015645","fatty acid ligase activity","3/272","14/21875",0.000625286753027216,0.0205563020057697,0.0180181314359158,"LACS2/LACS3/CER8",3
"GO:0016747","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups","13/272","371/21875",0.000810166641179929,0.0236748696255913,0.0207516367740824,"ATGPAT4/ATGPAT2/KCS3/scpl18/AtCER6/NA/ABX45/FDH/TBL41/AtPNP-R1/CER2/NA/KCS20",13
"GO:0016746","GO:0016746","transferase activity, transferring acyl groups","13/272","404/21875",0.00174101861642703,0.045788789612031,0.0401350607365811,"ATGPAT4/ATGPAT2/KCS3/scpl18/AtCER6/NA/ABX45/FDH/TBL41/AtPNP-R1/CER2/NA/KCS20",13
"GO:0016854","GO:0016854","racemase and epimerase activity","4/272","43/21875",0.00197108830833183,0.0471269295537518,0.0413079750741311,"UGE3/NA/ATECI3/ATUGE2",4
"GO:0015145","GO:0015145","monosaccharide transmembrane transporter activity","3/272","22/21875",0.00245799204299553,0.053870992275652,0.0472193208259667,"ESL1/ATSTP1/ATSTP13",3
"GO:0030570","GO:0030570","pectate lyase activity","3/272","25/21875",0.00357156691395288,0.0722555460284314,0.0633338586360876,"NA/PLL18/NA",3
"GO:0016829","GO:0016829","lyase activity","11/272","343/21875",0.00395204734390431,0.0742420322462024,0.0650750652868454,"EDA17/ATRHM1/AXS1/FBA6/NA/PLL18/NA/ATECI3/PCK1/AtGGCT2;1/CER3",11
"GO:0016405","GO:0016405","CoA-ligase activity","3/272","30/21875",0.00602317300795383,0.10236192936528,0.0897228838542977,"LACS2/LACS3/CER8",3
"GO:0004364","GO:0004364","glutathione transferase activity","4/272","59/21875",0.00622734171043527,0.10236192936528,0.0897228838542977,"ATGSTU17/ATGSTU26/ATGSTU12/ATGSTF3",4
