"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009543","GO:0009543","chloroplast thylakoid lumen","25/544","45/25124",2.99467339089357e-30,2.96971777930279e-29,1.65495108444118e-29,"PSB27/OE23/PnsL2/DRT112/AtTLP18.3/NA/NA/PnsL1/PnsL3/ATCYP38/OEC33/PPL1/NA/MPH2/PSBQ/APX4/PSBQ/FKBP16-2/ATCYP20-2/HCF136/ATFKBP13/NA/TL17/PSAN/MSP-1",25
"GO:0031978","GO:0031978","plastid thylakoid lumen","25/544","45/25124",2.99467339089357e-30,2.96971777930279e-29,1.65495108444118e-29,"PSB27/OE23/PnsL2/DRT112/AtTLP18.3/NA/NA/PnsL1/PnsL3/ATCYP38/OEC33/PPL1/NA/MPH2/PSBQ/APX4/PSBQ/FKBP16-2/ATCYP20-2/HCF136/ATFKBP13/NA/TL17/PSAN/MSP-1",25
"GO:0009523","GO:0009523","photosystem II","22/544","33/25124",2.4496513906276e-29,2.24237319603603e-28,1.24961973772906e-28,"OE23/PnsL2/CP24/PSBY/LIL8/NA/NA/PSBR/LHCB2/PnsL1/PnsL3/LHCB2/OEC33/PPL1/MPH2/PSBQ/LHCB5/PSBQ/PSB28/PPD5/NA/MSP-1",22
"GO:0042646","GO:0042646","plastid nucleoid","24/544","50/25124",4.9128057054515e-27,4.17588484963377e-26,2.32711849205597e-26,"PRIN2/ATWHY1/PTAC6/PTAC4/FLN2/ATWHY3/ATRAP/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/PDE312/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/PRDA1/FSD2/PRPL29/AtERG1",24
"GO:0042644","GO:0042644","chloroplast nucleoid","22/544","43/25124",1.08923563603839e-25,8.6412693792379e-25,4.8155680751171e-25,"ATWHY1/PTAC6/PTAC4/FLN2/ATWHY3/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/PDE312/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/PRDA1/FSD2/PRPL29/AtERG1",22
"GO:0009295","GO:0009295","nucleoid","24/544","56/25124",1.56032905285845e-25,1.16049473306347e-24,6.46715331118964e-25,"PRIN2/ATWHY1/PTAC6/PTAC4/FLN2/ATWHY3/ATRAP/HMR/CURT1B/PDE324/TRX/PTAC13/PTAC16/PDE312/FLN1/PTAC14/ATRAB8D/ATFSD1/FSD3/PDE225/PRDA1/FSD2/PRPL29/AtERG1",24
"GO:0005840","GO:0005840","ribosome","51/544","390/25124",4.65766067390323e-25,3.26036247173226e-24,1.81692026288485e-24,"EMB2784/CRB/NA/SDP/NA/PRPL34/PRPL11/CPN60B/ARP2/RBCS1A/NA/RPS9/emb1473/CS17/AtFBA1/PRPL35/CH-CPN60A/PRPL28/EMB3113/RPL40A/NA/PRPS10/GOX1/PRPS20/RFC3/RPL15/RPL12-C/NA/RPL9/NA/PRPL17/CYP20-3/CSP41A/EMB3126/PRPL5/RPS18C/NA/emb2726/NA/CAT2/SHM1/EMB3136/EMB3137/NA/NA/RPL18C/ARRPS1/ATGSL1/NA/RPL24/NA",51
"GO:0010319","GO:0010319","stromule","19/544","35/25124",5.11275472318815e-23,3.3800989558855e-22,1.88364647696405e-22,"ATHM1/CRB/ACR11/AOR/PRK/GAPB/CPN60B/AtGLYI6/PSB29/NA/RCA/ATBCA1/2CPA/cfbp1/CSP41A/ATPD/CAT2/SHM1/EMB2728",19
"GO:0009522","GO:0009522","photosystem I","14/544","17/25124",2.70423977699236e-21,1.69370807085311e-20,9.43862082828358e-21,"PSAO/PSAF/Lhca5/PSAH-2/PSAG/LHCB2/PSAE-2/CURT1B/PSAH-1/LHCB2/LHCA2/PSAD-1/PSAL/PSAN",14
"GO:0009654","GO:0009654","photosystem II oxygen evolving complex","15/544","23/25124",3.72444455655224e-20,2.21604451114858e-19,1.23494740559364e-19,"OE23/PnsL2/NA/NA/PSBR/PnsL1/PnsL3/OEC33/PPL1/PSBQ/PSBQ/PSB28/PPD5/NA/MSP-1",15
