"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005887","GO:0005887","integral component of plasma membrane","1/46","97/25052",0.163572993385985,0.513928290538622,0.513928290538622,"AMT2",1
"GO:0016021","GO:0016021","integral component of membrane","2/46","418/25052",0.17879135670186,0.513928290538622,0.513928290538622,"AMT2/ABCB21",2
"GO:0099503","GO:0099503","secretory vesicle","1/46","173/25052",0.273159919556495,0.513928290538622,0.513928290538622,"NA",1
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","1/46","271/25052",0.393935173387638,0.513928290538622,0.513928290538622,"AMT2",1
"GO:0005802","GO:0005802","trans-Golgi network","1/46","312/25052",0.438423542746041,0.513928290538622,0.513928290538622,"NA",1
"GO:0031225","GO:0031225","anchored component of membrane","1/46","314/25052",0.440509963318819,0.513928290538622,0.513928290538622,"AGP12",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/46","390/25052",0.514413200156087,0.514413200156087,0.514413200156087,"NA",1
