"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir02Ox-b25630.2",1.71035759102685e-53,0.974404065471922,0.647,0.198,3.36256302395879e-49,"Chir02Ox-b25630.2"
"Chir04Ox-b07420.2",1.27544489433082e-28,0.691061295520305,0.526,0.201,2.50752466225439e-24,"Chir04Ox-b07420.2"
"Chir04Ox-b18150.2",9.20315204845885e-39,0.964160537434426,0.566,0.202,1.80933969272701e-34,"Chir04Ox-b18150.2"
"Chir04Ox-b23920.2",2.42543110273434e-33,0.579411085242569,0.538,0.203,4.76839754797571e-29,"Chir04Ox-b23920.2"
"Chir02Ox-b22630.2",2.53448520741895e-55,0.705612680604379,0.618,0.205,4.98279791778565e-51,"Chir02Ox-b22630.2"
"Chir03Ox-b22140.2",6.25915911884049e-32,0.599952123526338,0.526,0.207,1.23055068276404e-27,"Chir03Ox-b22140.2"
"Chir02Ox-b26240.2",1.03819663332959e-39,0.911878879985743,0.543,0.21,2.04109458112598e-35,"Chir02Ox-b26240.2"
"Chir08Ox-b04440.2",4.5257848557548e-32,0.370561895739999,0.613,0.21,8.89769302641393e-28,"Chir08Ox-b04440.2"
"Chir06Ox-b05390.2",1.02580107040709e-24,0.455501639628412,0.532,0.21,2.01672490442035e-20,"Chir06Ox-b05390.2"
"Chir01Ox-b12770.2",9.26079785711711e-138,3.38387365788152,0.838,0.213,1.82067285870922e-133,"Chir01Ox-b12770.2"
"Chir06Ox-b25730.2",4.69057101877778e-55,0.905165758334728,0.659,0.216,9.22166262291711e-51,"Chir06Ox-b25730.2"
"Chir04Ox-b19690.2",8.03014538964091e-65,1.28929406416408,0.723,0.219,1.5787265836034e-60,"Chir04Ox-b19690.2"
"Chir04Ox-b23950.2",1.56990481314e-46,0.83406070541167,0.584,0.219,3.08643286263324e-42,"Chir04Ox-b23950.2"
"Chir04Ox-b24280.2",4.53403440646301e-61,0.901899474541871,0.711,0.222,8.91391164310627e-57,"Chir04Ox-b24280.2"
"Chir02Ox-b26330.2",3.19748295159749e-33,0.873538656088366,0.572,0.222,6.28625148284066e-29,"Chir02Ox-b26330.2"
"Chir07Ox-b18410.2",6.92643703840675e-58,0.846891720505726,0.734,0.223,1.36173752175077e-53,"Chir07Ox-b18410.2"
"Chir07Ox-b25890.2",3.44614251215987e-35,0.506833395148979,0.561,0.223,6.7751161789063e-31,"Chir07Ox-b25890.2"
"Chir04Ox-b00520.2",6.16793596092067e-31,0.572038393733175,0.538,0.224,1.212616209917e-26,"Chir04Ox-b00520.2"
"Chir01Ox-b38370.2",3.76090183486305e-50,0.713179333544707,0.728,0.226,7.39393300734076e-46,"Chir01Ox-b38370.2"
"Chir05Ox-b26390.2",1.86194273855446e-32,1.14693652660188,0.549,0.227,3.66057942399808e-28,"Chir05Ox-b26390.2"
"Chir05Ox-b07480.2",8.57215775009529e-77,1.09636272239763,0.832,0.229,1.68528621366873e-72,"Chir05Ox-b07480.2"
"Chir07Ox-b33330.2",1.74279604056686e-29,0.498433734063887,0.595,0.231,3.42633701575444e-25,"Chir07Ox-b33330.2"
"Chir01Ox-b17290.2",1.15220094431135e-48,0.567953792862572,0.769,0.233,2.26522705651611e-44,"Chir01Ox-b17290.2"
"Chir06Ox-b13160.2",2.08560633168083e-35,0.554010652397267,0.59,0.234,4.10030204808452e-31,"Chir06Ox-b13160.2"
"Chir01Ox-b17280.2",7.0209805454687e-72,1.19756576612088,0.803,0.243,1.38032477523915e-67,"Chir01Ox-b17280.2"
"Chir01Ox-b26450.2",3.07260243770908e-31,0.6144124143562,0.572,0.245,6.04073639253605e-27,"Chir01Ox-b26450.2"
"Chir08Ox-b27680.2",3.01900503874667e-32,0.973807737000702,0.59,0.247,5.93536390617595e-28,"Chir08Ox-b27680.2"
"Chir03Ox-b13780.2",1.70129964495421e-22,0.461407392316027,0.555,0.248,3.34475510197998e-18,"Chir03Ox-b13780.2"
"Chir01Ox-b14480.2",8.98937993318123e-48,1.11521540887141,0.665,0.25,1.76731209486343e-43,"Chir01Ox-b14480.2"
"Chir05Ox-b28800.2",6.55076641628077e-33,0.569924837094398,0.584,0.25,1.2878806774408e-28,"Chir05Ox-b28800.2"
"Chir07Ox-b36360.2",2.7244108632409e-34,0.485684758668074,0.717,0.252,5.35619175713161e-30,"Chir07Ox-b36360.2"
"Chir04Ox-b08700.2",4.54450079179374e-66,1.1988776568033,0.821,0.253,8.93448855666649e-62,"Chir04Ox-b08700.2"
"Chir07Ox-b22290.2",2.52253941513137e-29,2.34250219211773,0.561,0.254,4.95931249014826e-25,"Chir07Ox-b22290.2"
"Chir06Ox-b05540.2",3.8900221172013e-89,2.01391081105879,0.85,0.258,7.64778348241776e-85,"Chir06Ox-b05540.2"
"Chir04Ox-b04250.2",1.68740922351276e-54,0.820611618547082,0.838,0.258,3.31744653342609e-50,"Chir04Ox-b04250.2"
"Chir03Ox-b02810.2",1.52819046802285e-40,1.02790017437065,0.653,0.261,3.00442246013293e-36,"Chir03Ox-b02810.2"
"Chir03Ox-b12090.2",1.13930670962854e-49,1.08697201199221,0.694,0.263,2.23987699112971e-45,"Chir03Ox-b12090.2"
"Chir06Ox-b02610.2",2.9875806032449e-47,0.763416563766629,0.798,0.263,5.87358346597948e-43,"Chir06Ox-b02610.2"
"Chir06Ox-b07150.2",5.36274364325604e-29,0.59863298820467,0.578,0.264,1.05431540026414e-24,"Chir06Ox-b07150.2"
"Chir02Ox-b19670.2",3.09490705817175e-76,1.48760279822131,0.798,0.268,6.08458727636566e-72,"Chir02Ox-b19670.2"
"Chir04Ox-b30180.2",2.14928684768142e-40,0.298135990203299,0.803,0.269,4.22549794254167e-36,"Chir04Ox-b30180.2"
"Chir05Ox-b28860.2",3.84084222691258e-28,0.680197208324527,0.578,0.269,7.55109581811013e-24,"Chir05Ox-b28860.2"
"Chir05Ox-b22640.2",1.72041960498359e-37,2.26371584431569,0.642,0.27,3.38234494339775e-33,"Chir05Ox-b22640.2"
"Chir05Ox-b20940.2",1.85550574294407e-55,0.908985636604305,0.676,0.271,3.64792429062804e-51,"Chir05Ox-b20940.2"
"Chir05Ox-b12120.2",8.18395243166802e-86,1.84962854428822,0.827,0.273,1.60896504806593e-81,"Chir05Ox-b12120.2"
"Chir03Ox-b01700.2",2.64876213278441e-29,0.553972813760348,0.59,0.283,5.20746635305416e-25,"Chir03Ox-b01700.2"
"Chir04Ox-b18730.2",1.88685452671902e-38,1.93202097695039,0.647,0.284,3.7095559995296e-34,"Chir04Ox-b18730.2"
"Chir01Ox-b26660.2",1.94157689505344e-74,1.58197883413834,0.902,0.287,3.81714017567507e-70,"Chir01Ox-b26660.2"
"Chir07Ox-b16080.2",3.19797912235957e-31,0.836435099845164,0.63,0.288,6.28722695455891e-27,"Chir07Ox-b16080.2"
"Chir01Ox-b41920.2",9.04352611239962e-101,2.29642889511366,0.879,0.289,1.77795723369777e-96,"Chir01Ox-b41920.2"
"Chir08Ox-b13370.2",1.59079529631052e-53,1.87172002391173,0.763,0.289,3.12750355254647e-49,"Chir08Ox-b13370.2"
