"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir04Ox-b26830.2",0,0.354797578864728,0.139,0.005,0,"Chir04Ox-b26830.2"
"Chir04Ox-b27190.2",0,0.832129897157732,0.175,0.005,0,"Chir04Ox-b27190.2"
"Chir02Ox-b04170.2",0,0.295584887341341,0.173,0.006,0,"Chir02Ox-b04170.2"
"Chir02Ox-b14590.2",0,0.349286837008566,0.15,0.006,0,"Chir02Ox-b14590.2"
"Chir04Ox-b28370.2",0,0.352640196392768,0.163,0.006,0,"Chir04Ox-b28370.2"
"Chir07Ox-b15580.2",0,0.32824038146304,0.166,0.006,0,"Chir07Ox-b15580.2"
"Chir01Ox-b24820.2",0,0.304800990563836,0.125,0.007,0,"Chir01Ox-b24820.2"
"Chir01Ox-b42490.2",0,0.285825255767555,0.162,0.007,0,"Chir01Ox-b42490.2"
"Chir05Ox-b25650.2",0,0.283428958700839,0.161,0.007,0,"Chir05Ox-b25650.2"
"Chir07Ox-b18580.2",0,0.376962393517479,0.174,0.007,0,"Chir07Ox-b18580.2"
"Chir08Ox-b07790.2",0,0.526264424551487,0.133,0.007,0,"Chir08Ox-b07790.2"
"Chir08Ox-b29930.2",0,0.456192032393358,0.178,0.007,0,"Chir08Ox-b29930.2"
"Chir02Ox-b11530.2",0,0.318540527883151,0.15,0.008,0,"Chir02Ox-b11530.2"
"Chir05Ox-b25510.2",0,0.31893547203509,0.172,0.008,0,"Chir05Ox-b25510.2"
"Chir05Ox-b19880.2",0,0.376633366437308,0.177,0.009,0,"Chir05Ox-b19880.2"
"Chir06Ox-b37500.2",0,0.301725640104844,0.201,0.009,0,"Chir06Ox-b37500.2"
"Chir08Ox-b21840.2",0,0.623287142813447,0.15,0.009,0,"Chir08Ox-b21840.2"
"Chir01Ox-b22920.2",0,0.490712034288764,0.128,0.01,0,"Chir01Ox-b22920.2"
"Chir06Ox-b37510.2",0,0.257451228416729,0.173,0.01,0,"Chir06Ox-b37510.2"
"Chir07Ox-b08600.2",0,0.291651718307452,0.144,0.01,0,"Chir07Ox-b08600.2"
"Chir08Ox-b19810.2",0,0.378999939067322,0.207,0.01,0,"Chir08Ox-b19810.2"
"Chir05Ox-b25900.2",7.80187232537614e-224,0.353832801854817,0.109,0.01,1.53384809916895e-219,"Chir05Ox-b25900.2"
"Chir06Ox-b29080.2",1.49336735455721e-218,0.28015703783323,0.106,0.01,2.93596021905947e-214,"Chir06Ox-b29080.2"
"Chir04Ox-b05330.2",0,0.272928642963497,0.194,0.011,0,"Chir04Ox-b05330.2"
"Chir04Ox-b05450.2",0,0.336986077340157,0.173,0.011,0,"Chir04Ox-b05450.2"
"Chir01Ox-b23570.2",0,0.431437068033311,0.178,0.012,0,"Chir01Ox-b23570.2"
"Chir02Ox-b20850.2",0,1.06206952537799,0.275,0.012,0,"Chir02Ox-b20850.2"
"Chir02Ox-b22430.2",0,0.305138472934917,0.138,0.012,0,"Chir02Ox-b22430.2"
"Chir03Ox-b17400.2",0,0.587919617046558,0.194,0.012,0,"Chir03Ox-b17400.2"
"Chir03Ox-b21330.2",0,0.461484322023691,0.239,0.012,0,"Chir03Ox-b21330.2"
"Chir04Ox-b05280.2",0,0.256000950063141,0.142,0.012,0,"Chir04Ox-b05280.2"
"Chir06Ox-b26410.2",0,0.342248425496257,0.184,0.012,0,"Chir06Ox-b26410.2"
"Chir06Ox-b31640.2",0,0.494773287306007,0.15,0.012,0,"Chir06Ox-b31640.2"
"Chir07Ox-b22030.2",0,0.69308674520854,0.313,0.012,0,"Chir07Ox-b22030.2"
"Chir01Ox-b13030.2",0,0.899285468544431,0.276,0.013,0,"Chir01Ox-b13030.2"
"Chir01Ox-b13430.2",0,0.617311800047661,0.191,0.013,0,"Chir01Ox-b13430.2"
"Chir01Ox-b19490.2",0,0.619318412089803,0.143,0.013,0,"Chir01Ox-b19490.2"
"Chir02Ox-b00430.2",0,0.506061039981683,0.24,0.013,0,"Chir02Ox-b00430.2"
"Chir07Ox-b37250.2",0,0.305136115489211,0.174,0.013,0,"Chir07Ox-b37250.2"
"Chir01Ox-b41500.2",7.19921840366266e-197,0.372653443650713,0.112,0.013,1.41536633816008e-192,"Chir01Ox-b41500.2"
"Chir02Ox-b08960.2",0,0.368731399974465,0.171,0.014,0,"Chir02Ox-b08960.2"
"Chir08Ox-b17010.2",0,0.333837304954676,0.203,0.014,0,"Chir08Ox-b17010.2"
"Chir08Ox-b24390.2",0,0.585714298570788,0.226,0.014,0,"Chir08Ox-b24390.2"
"Chir08Ox-b24860.2",0,0.834952117265658,0.209,0.014,0,"Chir08Ox-b24860.2"
"Chir07Ox-b12060.2",2.5483008069874e-262,1.02942712631377,0.136,0.014,5.00995938653723e-258,"Chir07Ox-b12060.2"
"Chir04Ox-b02300.2",5.36723674174513e-174,0.354570350403949,0.114,0.015,1.05519874342709e-169,"Chir04Ox-b02300.2"
"Chir01Ox-b01410.2",0,0.54868645045164,0.283,0.016,0,"Chir01Ox-b01410.2"
"Chir02Ox-b03030.2",0,0.543655935042695,0.271,0.016,0,"Chir02Ox-b03030.2"
"Chir06Ox-b07030.2",0,0.267750608466992,0.184,0.016,0,"Chir06Ox-b07030.2"
"Chir01Ox-b15490.2",8.45333963423176e-194,0.398876310221302,0.125,0.017,1.66192657208996e-189,"Chir01Ox-b15490.2"
"Chir01Ox-b06420.2",0,0.494391012382888,0.305,0.018,0,"Chir01Ox-b06420.2"
"Chir01Ox-b27850.2",0,1.07669130453623,0.257,0.018,0,"Chir01Ox-b27850.2"
"Chir05Ox-b01810.2",0,0.752054278956986,0.318,0.019,0,"Chir05Ox-b01810.2"
"Chir07Ox-b03800.2",0,0.473766013385667,0.253,0.019,0,"Chir07Ox-b03800.2"
"Chir07Ox-b34760.2",0,0.25313923316956,0.184,0.019,0,"Chir07Ox-b34760.2"
"Chir08Ox-b15700.2",0,0.496727301066215,0.27,0.019,0,"Chir08Ox-b15700.2"
"Chir04Ox-b26260.2",0,1.03904084985379,0.347,0.02,0,"Chir04Ox-b26260.2"
"Chir05Ox-b16270.2",0,0.335344219377273,0.191,0.02,0,"Chir05Ox-b16270.2"
"Chir07Ox-b03200.2",0,0.910671025976201,0.188,0.02,0,"Chir07Ox-b03200.2"
"Chir08Ox-b30170.2",3.4513314253886e-182,0.760377437912004,0.133,0.02,6.78531758231399e-178,"Chir08Ox-b30170.2"
"Chir02Ox-b16410.2",0,0.610615778719018,0.245,0.021,0,"Chir02Ox-b16410.2"
"Chir02Ox-b18630.2",0,0.503662329172694,0.247,0.021,0,"Chir02Ox-b18630.2"
"Chir05Ox-b00600.2",0,1.48688598477127,0.388,0.021,0,"Chir05Ox-b00600.2"
"Chir06Ox-b21080.2",0,0.847721924251627,0.31,0.021,0,"Chir06Ox-b21080.2"
"Chir06Ox-b33630.2",0,2.07232366625011,0.299,0.021,0,"Chir06Ox-b33630.2"
"Chir07Ox-b22440.2",0,0.29678320743238,0.182,0.021,0,"Chir07Ox-b22440.2"
