"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir03Ox-b16250.2",1.4811858861562e-76,0.608640033596153,0.109,0.037,2.91201145218309e-72,"Chir03Ox-b16250.2"
"Chir04Ox-b21900.2",8.68693920040481e-35,0.370766348487658,0.112,0.056,1.70785224679959e-30,"Chir04Ox-b21900.2"
"Chir01Ox-b40890.2",3.33870253356537e-133,1.5860137126638,0.177,0.059,6.56388918098951e-129,"Chir01Ox-b40890.2"
"Chir05Ox-b18300.2",2.12308452985159e-177,0.250661251883071,0.225,0.072,4.17398418568822e-173,"Chir05Ox-b18300.2"
"Chir02Ox-b20340.2",2.4891865102205e-122,0.710841587744236,0.199,0.076,4.8937406790935e-118,"Chir02Ox-b20340.2"
"Chir05Ox-b05920.2",2.56577699341588e-199,1.29157978465989,0.249,0.083,5.04431756905563e-195,"Chir05Ox-b05920.2"
"Chir03Ox-b33620.2",0,0.386324504902966,0.343,0.086,0,"Chir03Ox-b33620.2"
"Chir05Ox-b14380.2",4.01575155013022e-72,0.603787844518319,0.194,0.093,7.89496754755602e-68,"Chir05Ox-b14380.2"
"Chir01Ox-b14670.2",0,0.34617967990127,0.493,0.191,0,"Chir01Ox-b14670.2"
"Chir07Ox-b03660.2",0,0.505148660783128,0.628,0.258,0,"Chir07Ox-b03660.2"
"Chir01Ox-b30630.2",0,0.500926227942114,0.577,0.273,0,"Chir01Ox-b30630.2"
"Chir01Ox-b14150.2",0,0.377527792074851,0.616,0.302,0,"Chir01Ox-b14150.2"
"Chir01Ox-b05100.2",0,0.723235389668114,0.656,0.307,0,"Chir01Ox-b05100.2"
"Chir01Ox-b40930.2",0,1.19911213908396,0.678,0.308,0,"Chir01Ox-b40930.2"
"Chir01Ox-b43800.2",2.25023088534602e-268,0.322403732304005,0.642,0.34,4.42395392059027e-264,"Chir01Ox-b43800.2"
"Chir03Ox-b00610.2",0,1.55782794864009,0.672,0.351,0,"Chir03Ox-b00610.2"
"Chir01Ox-b40880.2",0,1.37703831953107,0.726,0.361,0,"Chir01Ox-b40880.2"
"Chir05Ox-b02290.2",0,0.440150480157127,0.706,0.365,0,"Chir05Ox-b02290.2"
"Chir01Ox-b19150.2",5.78320724380154e-299,0.386817705790694,0.673,0.373,1.13697854413138e-294,"Chir01Ox-b19150.2"
"Chir04Ox-b16220.2",0,0.587212057961591,0.707,0.374,0,"Chir04Ox-b16220.2"
"Chir06Ox-b02580.2",0,0.407490445576401,0.691,0.374,0,"Chir06Ox-b02580.2"
"Chir07Ox-b08290.2",1.51858786934729e-304,0.378548591549207,0.699,0.377,2.98554375113678e-300,"Chir07Ox-b08290.2"
"Chir06Ox-b18420.2",6.72904957206296e-267,0.568123273074917,0.731,0.385,1.32293114586758e-262,"Chir06Ox-b18420.2"
"Chir01Ox-b35660.2",0,0.508258828914989,0.726,0.388,0,"Chir01Ox-b35660.2"
"Chir06Ox-b29650.2",1.37197140308952e-299,0.516048104060029,0.715,0.39,2.69729577847399e-295,"Chir06Ox-b29650.2"
"Chir01Ox-b10390.2",1.49183786789779e-271,0.426790897403356,0.702,0.395,2.93295324828706e-267,"Chir01Ox-b10390.2"
"Chir01Ox-b08520.2",4.5924978639824e-297,0.388998496732983,0.711,0.405,9.0288508005894e-293,"Chir01Ox-b08520.2"
"Chir07Ox-b18080.2",0,0.427182443601578,0.742,0.419,0,"Chir07Ox-b18080.2"
"Chir05Ox-b28780.2",0,0.480055172239846,0.76,0.424,0,"Chir05Ox-b28780.2"
"Chir08Ox-b17400.2",3.34320806482815e-224,0.311411079944877,0.748,0.426,6.57274705545214e-220,"Chir08Ox-b17400.2"
"Chir06Ox-b28930.2",1.10761946085438e-235,0.431792581745282,0.751,0.451,2.17757986003972e-231,"Chir06Ox-b28930.2"
"Chir04Ox-b30850.2",0,0.517584157017356,0.806,0.479,0,"Chir04Ox-b30850.2"
"Chir02Ox-b09430.2",0,0.522900090656788,0.831,0.481,0,"Chir02Ox-b09430.2"
"Chir03Ox-b19290.2",2.50118553248568e-254,0.49911006182849,0.793,0.493,4.91733075686684e-250,"Chir03Ox-b19290.2"
"Chir03Ox-b28600.2",0,0.67165496316221,0.822,0.501,0,"Chir03Ox-b28600.2"
"Chir03Ox-b27670.2",9.08372135168335e-290,0.45461539824407,0.823,0.502,1.78585961774095e-285,"Chir03Ox-b27670.2"
"Chir02Ox-b23570.2",0,0.418847683366631,0.805,0.505,0,"Chir02Ox-b23570.2"
"Chir01Ox-b23520.2",0,0.68729381443782,0.867,0.514,0,"Chir01Ox-b23520.2"
"Chir02Ox-b21810.2",0,0.74381868142796,0.912,0.537,0,"Chir02Ox-b21810.2"
"Chir02Ox-b05770.2",0,0.542787103090133,0.868,0.544,0,"Chir02Ox-b05770.2"
"Chir04Ox-b22080.2",0,0.631597610918704,0.908,0.555,0,"Chir04Ox-b22080.2"
"Chir04Ox-b09790.2",0,0.973892520578635,0.937,0.568,0,"Chir04Ox-b09790.2"
"Chir06Ox-b19900.2",0,0.447979027276845,0.901,0.58,0,"Chir06Ox-b19900.2"
"Chir03Ox-b20570.2",0,0.633121901048395,0.902,0.591,0,"Chir03Ox-b20570.2"
"Chir01Ox-b08930.2",0,1.11808618124238,0.937,0.625,0,"Chir01Ox-b08930.2"
"Chir05Ox-b05320.2",0,0.701961506448504,0.959,0.653,0,"Chir05Ox-b05320.2"
"Chir03Ox-b22180.2",0,0.774973303366448,0.995,0.691,0,"Chir03Ox-b22180.2"
