"","WT_p_val","WT_avg_log2FC","WT_pct.1","WT_pct.2","WT_p_val_adj","gene_ID"
"Chir07Ox-b20670.2",0,0.459901655208252,0.164,0.006,0,"Chir07Ox-b20670.2"
"Chir08Ox-b10200.2",0,0.281995184151828,0.121,0.006,0,"Chir08Ox-b10200.2"
"Chir01Ox-b22180.2",0,0.352748180323536,0.121,0.008,0,"Chir01Ox-b22180.2"
"Chir08Ox-b17580.2",0,0.275115270731827,0.124,0.009,0,"Chir08Ox-b17580.2"
"Chir04Ox-b12750.2",0,0.847281600248927,0.14,0.01,0,"Chir04Ox-b12750.2"
"Chir08Ox-b19940.2",0,0.289059887871018,0.189,0.01,0,"Chir08Ox-b19940.2"
"Chir03Ox-b20470.2",0,0.669618056407161,0.18,0.011,0,"Chir03Ox-b20470.2"
"Chir04Ox-b04670.2",0,0.333629901051193,0.185,0.011,0,"Chir04Ox-b04670.2"
"Chir06Ox-b17500.2",0,0.294336779356143,0.106,0.011,0,"Chir06Ox-b17500.2"
"Chir06Ox-b37840.2",0,0.256730916071855,0.147,0.011,0,"Chir06Ox-b37840.2"
"Chir03Ox-b33300.2",0,0.329567906314993,0.189,0.012,0,"Chir03Ox-b33300.2"
"Chir07Ox-b36920.2",0,0.568992347180964,0.181,0.012,0,"Chir07Ox-b36920.2"
"Chir08Ox-b09580.2",0,0.279191865526189,0.141,0.012,0,"Chir08Ox-b09580.2"
"Chir03Ox-b10390.2",0,0.267548956287626,0.244,0.013,0,"Chir03Ox-b10390.2"
"Chir07Ox-b05960.2",0,0.69989386589783,0.206,0.013,0,"Chir07Ox-b05960.2"
"Chir07Ox-b10880.2",0,0.350123096320506,0.164,0.013,0,"Chir07Ox-b10880.2"
"Chir03Ox-b16200.2",0,1.61101814597489,0.15,0.014,0,"Chir03Ox-b16200.2"
"Chir03Ox-b32650.2",0,0.596491423098039,0.268,0.014,0,"Chir03Ox-b32650.2"
"Chir04Ox-b10250.2",0,0.266815609425294,0.236,0.014,0,"Chir04Ox-b10250.2"
"Chir01Ox-b21990.2",0,0.274330216323614,0.193,0.015,0,"Chir01Ox-b21990.2"
"Chir02Ox-b07060.2",0,0.252512257405033,0.198,0.015,0,"Chir02Ox-b07060.2"
"Chir02Ox-b14850.2",0,0.306111846108255,0.258,0.015,0,"Chir02Ox-b14850.2"
"Chir04Ox-b12770.2",0,0.836027002474903,0.123,0.015,0,"Chir04Ox-b12770.2"
"Chir01Ox-b15920.2",0,0.318944588546421,0.221,0.016,0,"Chir01Ox-b15920.2"
"Chir01Ox-b35540.2",0,1.22350011635678,0.127,0.016,0,"Chir01Ox-b35540.2"
"Chir03Ox-b29270.2",0,0.523526705795222,0.265,0.016,0,"Chir03Ox-b29270.2"
"Chir07Ox-b02900.2",0,0.264064776268833,0.183,0.016,0,"Chir07Ox-b02900.2"
"Chir04Ox-b02620.2",0,0.284599440251787,0.248,0.018,0,"Chir04Ox-b02620.2"
"Chir05Ox-b02670.2",0,0.339425170560654,0.237,0.018,0,"Chir05Ox-b02670.2"
"Chir08Ox-b25740.2",0,0.250163978568464,0.178,0.018,0,"Chir08Ox-b25740.2"
"Chir02Ox-b16990.2",0,0.48479213187328,0.343,0.019,0,"Chir02Ox-b16990.2"
"Chir05Ox-b23540.2",0,0.269459876694899,0.266,0.019,0,"Chir05Ox-b23540.2"
"Chir06Ox-b09250.2",0,0.552712177224555,0.372,0.019,0,"Chir06Ox-b09250.2"
"Chir04Ox-b25720.2",0,0.548508858875001,0.371,0.021,0,"Chir04Ox-b25720.2"
"Chir05Ox-b10010.2",0,0.645727678075111,0.448,0.021,0,"Chir05Ox-b10010.2"
"Chir07Ox-b16300.2",0,0.575051198992334,0.253,0.021,0,"Chir07Ox-b16300.2"
"Chir02Ox-b00440.2",0,0.361848664611889,0.2,0.022,0,"Chir02Ox-b00440.2"
"Chir06Ox-b22300.2",0,0.372956210688999,0.315,0.022,0,"Chir06Ox-b22300.2"
"Chir06Ox-b30250.2",0,0.551986263845025,0.178,0.022,0,"Chir06Ox-b30250.2"
"Chir08Ox-b02570.2",0,0.318829993199629,0.288,0.022,0,"Chir08Ox-b02570.2"
"Chir08Ox-b27370.2",0,0.569731166597611,0.247,0.023,0,"Chir08Ox-b27370.2"
"Chir01Ox-b02910.2",0,0.254577350066947,0.166,0.024,0,"Chir01Ox-b02910.2"
"Chir02Ox-b00130.2",0,0.264655190354065,0.215,0.024,0,"Chir02Ox-b00130.2"
"Chir02Ox-b13040.2",0,0.25471144464666,0.214,0.024,0,"Chir02Ox-b13040.2"
"Chir04Ox-b15000.2",0,0.322475417324011,0.227,0.024,0,"Chir04Ox-b15000.2"
"Chir06Ox-b32770.2",0,0.617399096693458,0.352,0.024,0,"Chir06Ox-b32770.2"
"Chir06Ox-b35890.2",0,0.366754333810789,0.267,0.024,0,"Chir06Ox-b35890.2"
"Chir07Ox-b29730.2",0,0.514553156850336,0.284,0.024,0,"Chir07Ox-b29730.2"
"Chir08Ox-b20920.2",0,0.436637660405164,0.346,0.024,0,"Chir08Ox-b20920.2"
"Chir01Ox-b39450.2",0,0.365243785234077,0.213,0.025,0,"Chir01Ox-b39450.2"
"Chir02Ox-b22970.2",0,1.15357259107501,0.371,0.025,0,"Chir02Ox-b22970.2"
"Chir02Ox-b23390.2",0,0.29853094837238,0.177,0.025,0,"Chir02Ox-b23390.2"
"Chir03Ox-b05000.2",0,0.49975419304625,0.381,0.025,0,"Chir03Ox-b05000.2"
"Chir03Ox-b16210.2",0,1.70940270182316,0.257,0.025,0,"Chir03Ox-b16210.2"
"Chir02Ox-b02310.2",0,0.47390758534211,0.348,0.026,0,"Chir02Ox-b02310.2"
"Chir04Ox-b01290.2",0,0.727816667982169,0.4,0.026,0,"Chir04Ox-b01290.2"
